age_of_driver,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,past_num_of_claims,witness_present_ind,liab_prct,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_price,vehicle_weight,age_is_outlier,is_young_driver,is_senior_driver,safety_risk_score,low_safety_flag,is_low_income,is_high_income,log_annual_income,is_repeat_claimer,is_serial_claimer,is_extreme_claimer,log_past_claims,witness_absent,witness_unknown,no_verification,full_liability_flag,zero_liability_flag,extreme_liability_flag,no_police_report,zero_payout_claim,log_claim_payout,high_payout_flag,extreme_payout_flag,accident_parking,accident_highway,accident_local,log_vehicle_price,log_vehicle_weight,price_per_weight,residual_value_ratio,estimated_residual_value,payout_to_residual_ratio,over_value_claim_flag,payout_to_price_ratio,high_payout_ratio_flag,old_vehicle_flag,old_vehicle_high_claim,new_vehicle_flag,new_vehicle_high_claim,veh_size_Large,veh_size_Medium,veh_size_nan,vehicle_to_income_ratio,overpriced_vehicle_flag,payout_to_income_ratio,low_income_overpriced_vehicle,low_income_high_claim,no_witness_no_report,repeat_no_witness,living_status_rent,unstable_lifestyle,expensive_vehicle_flag,young_expensive_vehicle,channel_broker,channel_online,broker_no_report,unsafe_full_liability,income_safety_interaction,claim_month,claim_year,claim_quarter,claim_day,is_weekend_claim,is_monday_claim,day_of_week_num,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_month_end_claim,is_year_end_claim,is_winter_claim,is_summer_claim,weekend_no_witness,zip_fraud_rate_oof,is_high_risk_zip_oof,composite_risk_score,risk_grade,fraud
47,1.0,43,108888,1,1,0,0,13,0,3995.36,7,15000.0,15800.7448,0,0,0,57,1,0,1,11.598084293718179,0,0,0,0.0,1,0,1,0,0,0,1,0,8.293139225800665,1,0,1,0,0,9.61587214452889,9.667875643297819,0.9493223382134921,0.3999999999999999,5999.999999999999,0.6658933332223512,0,0.2663573333155762,0,1,1,0,0,1,0,0,0.13775622658017636,0,0.036692381161958235,0,0,1,0,0,0,0,0,1,0,1,0,6206616,12,2016,4,15,0,0,3,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,0,1,1,0,0,0.12686868686868688,0,8,2,0.0
59,1.0,91,110812,1,1,0,0,41,1,0.0,4,48796.87560924169,23175.18071,0,0,0,9,0,0,1,11.615599374932724,0,0,0,0.0,1,0,1,0,0,0,0,1,0.0,0,0,0,0,1,10.79544205829616,10.050880336709088,2.1055661320509342,0.7,34157.81292646918,0.0,0,0.0,0,0,0,0,0,0,0,0,0.4403573223910888,0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,997308,4,2015,2,20,0,1,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0.12637037037037038,0,2,0,0.0
41,1.0,70,92973,0,0,14,0,50,1,0.0,11,15000.0,23605.10513,0,0,0,30,0,0,0,11.440075163155973,1,1,0,2.70805020110221,1,0,1,0,0,0,0,1,0.0,0,0,0,0,1,9.61587214452889,10.06926064950786,0.6354557591146193,0.05,750.0,0.0,0,0.0,0,1,0,0,0,1,0,0,0.16133716240025237,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,2789190,2,2015,1,28,1,0,5,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1,0,1,0,1,0.08737127371273713,0,4,1,1.0
31,1.0,86,92834,0,1,9,0,69,1,606.92,1,15000.0,22086.44797,0,0,0,14,0,0,0,11.438579002841571,1,1,0,2.302585092994046,1,0,1,0,0,0,0,0,6.41004329436153,0,0,0,1,0,9.61587214452889,10.002764760994165,0.6791494956407357,1.0,15000.0,0.04046133333063591,0,0.04046133333063591,0,0,0,1,0,0,1,0,0.1615787319283713,0,0.006537690932131141,0,0,0,1,0,0,0,0,1,0,0,0,1299676,2,2016,1,19,0,0,4,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0,0,1,0,0,0.18806349206349207,1,5,1,1.0
48,1.0,89,89906,1,0,0,0,47,1,5122.01,1,15000.0,17695.01417,0,0,0,11,0,0,0,11.406531081722104,0,0,0,0.0,1,0,1,0,0,0,0,0,8.541497435918558,1,0,0,1,0,9.61587214452889,9.781094705067671,0.8476964106976075,1.0,15000.0,0.34146733331056883,0,0.34146733331056883,0,0,0,1,1,1,0,0,0.16684092273967432,0,0.05697072497878929,0,0,0,0,0,0,0,0,1,0,0,0,988966,12,2015,4,2,0,0,2,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,0,1,1,0,0,0.14627160493827163,0,1,0,0.0
58,1.0,73,35649,1,0,14,0,81,1,1136.73,1,34786.85982300338,27563.54692,0,0,0,27,0,1,0,10.481504425842441,1,1,0,2.70805020110221,1,0,1,0,0,0,0,0,7.036790328188083,0,0,1,0,0,10.457023749237452,10.22428569410292,1.2620603553928,1.0,34786.85982300338,0.03267699371978501,0,0.03267699371978501,0,0,0,1,0,0,0,0,0.9758158664205887,0,0.031886728939608776,0,0,0,1,1,0,0,0,1,0,0,0,962523,8,2016,3,20,1,0,5,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,0,0,0,1,1,0.20236652236652236,1,7,2,0.0
62,1.0,96,55856,1,1,0,1,0,1,1916.13,1,15000.0,21797.50318,0,0,0,4,0,0,0,10.930550132364163,0,0,0,0.0,0,0,0,0,1,1,0,0,7.558584555039526,0,0,1,0,0,9.61587214452889,9.989596584951984,0.6881522106199252,1.0,15000.0,0.12774199999148386,0,0.12774199999148386,0,0,0,1,0,0,0,0,0.26854769406565904,0,0.03430481953533542,0,0,0,0,0,0,0,0,1,0,0,0,223424,8,2015,3,23,1,0,6,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0,0.14419323671497583,0,4,1,0.0
50,1.0,73,99220,1,1,18,0,63,1,1302.25,13,15000.0,35564.86548,0,0,0,27,0,0,0,11.505104964417434,1,1,1,2.9444389791664403,1,0,1,0,0,0,0,0,7.172616423648216,0,0,0,1,0,9.61587214452889,10.479141622032493,0.42176456446920985,0.05,750.0,1.7363333310182223,1,0.08681666666087888,0,1,0,0,0,0,1,0,0.151179197740867,0,0.013124874017202935,0,0,0,1,1,1,0,0,1,0,0,0,2678940,3,2015,1,26,0,0,3,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1,0,0,0,0,0.15882241215574547,0,6,2,0.0
44,0.0,69,43182,0,0,0,0,76,0,0.0,1,78576.37704529995,10820.43667,0,0,0,31,0,1,0,10.673202178264951,0,0,0,0.0,1,0,1,0,0,0,1,1,0.0,0,0,0,0,1,11.271839113136918,9.28928432269886,7.261848983959545,1.0,78576.37704529995,0.0,0,0.0,0,0,0,1,0,0,0,0,1.8196558066666733,1,0.0,1,0,1,0,0,0,1,0,1,0,1,0,1338642,10,2015,4,6,0,0,1,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0.17164444444444446,0,6,2,1.0
47,1.0,53,83923,0,1,0,0,50,1,8020.52,1,100192.47751196906,12325.49515,0,0,0,47,1,0,0,11.337666906376592,0,0,0,0.0,1,0,1,0,0,0,0,0,8.98988320908728,1,0,0,0,1,11.514858370823223,9.419506301898213,8.128880526462272,1.0,100192.47751196906,0.08005111959589793,0,0.08005111959589793,0,0,0,1,1,0,1,0,1.1938619628799638,1,0.0955699867724513,0,0,0,0,0,0,1,0,1,0,0,0,3944381,5,2015,2,8,0,0,4,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0.15107497741644083,0,4,1,0.0
46,1.0,90,62666,0,1,2,1,100,1,0.0,13,30203.14335634287,21249.2847,0,0,0,10,0,0,0,11.045590272278766,1,0,0,1.0986122886681098,0,0,0,1,0,1,0,1,0.0,0,0,1,0,0,10.315734391182177,9.964125571909873,1.421372238234518,0.05,1510.1571678171435,0.0,0,0.0,0,1,0,0,0,0,0,0,0.4819701808933217,0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,626660,4,2016,2,22,0,0,4,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0.15615312791783378,0,6,2,0.0
34,1.0,89,33337,1,0,4,0,60,0,0.0,1,15000.0,20418.65669,0,0,0,11,0,1,0,10.414453166503034,1,0,0,1.6094379124341003,1,0,1,0,0,0,1,1,0.0,0,0,0,0,1,9.61587214452889,9.92425327913854,0.7346222734922421,1.0,15000.0,0.0,0,0.0,0,0,0,1,0,0,1,0,0.4499505054309041,0,0.0,0,0,1,1,1,0,0,0,1,0,1,0,366707,6,2015,2,16,0,0,1,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,0,0,0,1,0,0.286006006006006,1,7,2,0.0
23,1.0,62,91385,1,1,0,0,69,1,3849.37,1,44895.04385822643,8576.747176,0,1,0,38,0,0,0,11.422847572843558,0,0,0,0.0,1,0,1,0,0,0,0,0,8.25592452656025,1,0,0,0,1,10.712104959786654,9.056926591105517,5.2345070842964905,1.0,44895.04385822643,0.0857415355706109,0,0.0857415355706109,0,0,0,1,1,1,0,0,0.4912736647998595,0,0.04212255840627978,0,0,0,0,1,0,1,1,0,1,0,0,3472630,8,2015,3,2,1,0,6,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,0,0,0,1,1,0.15344173441734418,0,3,1,0.0
57,1.0,88,83116,1,1,0,0,98,1,0.0,1,15000.0,8777.104216,0,0,0,12,0,0,0,11.328004532725227,0,0,0,0.0,1,0,1,0,0,1,0,1,0.0,0,0,0,1,0,9.61587214452889,9.080015742585996,1.7089918985976191,1.0,15000.0,0.0,0,0.0,0,0,0,1,0,1,0,0,0.1804706674986709,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,997392,1,2015,1,18,1,0,6,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0,0,1,0,1,0.15541446208112875,0,4,1,0.0
34,1.0,91,103597,0,1,10,1,33,1,0.0,9,21118.107210708928,16819.073809999998,0,0,0,9,0,0,1,11.54827330360187,1,1,0,2.3978952727983707,0,0,0,0,0,0,0,1,0.0,0,0,0,0,1,9.957933464706482,9.73032832174561,1.2556046455362648,0.19999999999999996,4223.621442141784,0.0,0,0.0,0,1,0,0,0,0,1,0,0.20384863664493258,0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,932373,10,2015,4,14,0,0,2,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0.17514739229024945,0,4,1,0.0
44,1.0,64,60604,1,1,19,0,88,0,0.0,1,36580.63735817265,14633.77049,0,0,0,36,0,0,0,11.012132676904612,1,1,1,2.995732273553991,1,0,1,0,0,0,1,1,0.0,0,0,1,0,0,10.507301681964782,9.591155516734483,2.4997410872796126,1.0,36580.63735817265,0.0,0,0.0,0,0,0,1,0,1,0,0,0.6036010388352098,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,2181744,11,2016,4,7,0,1,0,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,1,0,0,0,0.15671957671957673,0,7,2,0.0
31,0.0,86,46061,1,0,5,0,83,0,0.0,8,70686.32661512695,22254.32271,0,0,0,14,0,1,0,10.737743594055953,1,1,0,1.791759469228055,1,0,1,0,0,0,1,1,0.0,0,0,0,0,1,11.166021580019068,10.010336481906494,3.176296467570666,0.29999999999999993,21205.89798453808,0.0,0,0.0,0,1,0,0,0,1,0,0,1.534624229035243,1,0.0,1,0,1,1,0,0,1,0,1,0,1,0,644854,9,2016,3,11,1,0,6,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0,0,0,0,1,0.19962962962962963,1,10,3,0.0
40,1.0,81,124779,1,0,0,0,97,0,10575.87,11,15736.407035284592,25426.55061,0,0,0,19,0,0,1,11.734307465664777,0,0,0,0.0,1,0,1,0,0,1,1,0,9.266424820432817,1,1,0,0,1,9.66379577112528,10.143588534862532,0.6188966516156827,0.05,786.8203517642296,13.441276605066488,1,0.6720638310647684,1,1,1,0,0,1,0,0,0.12611422623324822,0,0.08475681003947175,0,0,1,0,1,0,0,0,1,0,1,0,2370801,3,2016,1,22,0,0,1,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0,0,0,0,0,0.1619287211740042,0,8,2,0.0
66,1.0,78,70593,1,1,18,0,49,1,3892.51,1,15000.0,16194.0599,0,0,1,22,0,0,0,11.164700434034138,1,1,1,2.9444389791664403,1,0,1,0,0,0,0,0,8.267066343396944,1,0,0,0,1,9.61587214452889,9.69246153027102,0.9262655622926116,1.0,15000.0,0.2595006666493666,0,0.2595006666493666,0,0,0,1,1,0,0,0,0.2124856572151278,0,0.055140169704430475,0,0,0,1,1,1,0,0,0,1,0,0,1553046,1,2015,1,19,0,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,1,0,0,0.11543323139653415,0,5,1,0.0
55,1.0,57,53823,1,1,5,0,81,1,0.0,1,15000.0,50159.58494,0,0,0,43,1,0,0,10.89347474333262,1,1,0,1.791759469228055,1,0,1,0,0,0,0,1,0.0,0,0,0,0,1,9.61587214452889,10.82298483672206,0.2990455367133457,1.0,15000.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.2786912658105514,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,2314389,8,2016,3,22,0,1,0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0,0.09164444444444446,0,5,1,0.0
38,1.0,77,102835,1,0,0,0,51,1,1041.65,3,15000.0,11806.88752,0,0,0,23,0,0,1,11.54089076525193,0,0,0,0.0,1,0,1,0,0,0,0,0,6.949520828214605,0,0,1,0,0,9.61587214452889,9.376523021049627,1.2704448969570226,0.8,12000.0,0.086804166659433,0,0.06944333332870378,0,0,0,0,0,1,0,0,0.14586473476787218,0,0.010129333398063605,0,0,0,0,0,0,0,0,1,0,0,0,2365205,9,2016,3,8,0,0,3,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0.15107497741644083,0,2,0,0.0
52,1.0,87,111190,1,1,0,0,26,0,0.0,1,15000.0,9727.427358,0,0,0,13,0,0,1,11.619004722271386,0,0,0,0.0,1,0,1,0,0,0,1,1,0.0,0,0,1,0,0,9.61587214452889,9.182807533956483,1.5420315615229667,1.0,15000.0,0.0,0,0.0,0,0,0,1,0,1,0,0,0.13490421800400304,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1445470,3,2016,1,7,0,1,0,0.0,1.0,1.0,6.123233995736766e-17,0,0,0,0,0,0.19441595441595444,1,6,2,0.0
43,1.0,66,97677,1,1,0,0,45,1,0.0,9,64401.27926038503,6978.143204999999,0,0,0,34,0,0,0,11.489431633554496,0,0,0,0.0,1,0,1,0,0,0,0,1,0.0,0,0,1,0,0,11.072904303708158,8.85068143822202,9.228999371209671,0.19999999999999996,12880.255852077004,0.0,0,0.0,0,1,0,0,0,1,0,0,0.6593290053925255,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,3321018,2,2015,1,17,0,0,1,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0,0,1,0,0,0.20387706855791962,1,4,1,0.0
50,1.0,90,48065,1,0,0,1,82,1,4562.12,1,15000.0,11568.43153,0,0,0,10,0,1,0,10.780330345443172,0,0,0,0.0,0,0,0,0,0,0,0,0,8.42576187906944,1,0,0,1,0,9.61587214452889,9.356121685877799,1.2966321285477986,1.0,15000.0,0.3041413333130572,0,0.3041413333130572,0,0,0,1,1,1,0,0,0.3120773951875153,0,0.09491563507552449,0,1,0,0,0,0,0,0,1,0,0,0,480650,3,2016,1,26,1,0,5,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1,0,0,0,0,0.2271812865497076,1,3,1,0.0
46,1.0,71,68441,1,1,8,0,18,0,0.0,1,15000.0,21686.07371,0,0,0,29,0,0,0,11.133741950255953,1,1,0,2.1972245773362196,1,0,1,0,0,0,1,1,0.0,0,0,0,0,1,9.61587214452889,9.984471680472979,0.6916881405042643,1.0,15000.0,0.0,0,0.0,0,0,0,1,0,1,0,0,0.21916687365440066,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,1984789,10,2016,4,20,0,0,3,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0.18427350427350428,0,6,2,0.0
39,1.0,88,124193,1,1,0,0,98,0,0.0,1,28745.61589134395,7695.764341,0,0,0,12,0,0,1,11.729600138135845,0,0,0,0.0,1,0,1,0,0,1,1,1,0.0,0,0,0,0,1,10.266275331170185,8.948555304071974,3.735251576567045,1.0,28745.61589134395,0.0,0,0.0,0,0,0,1,0,0,0,0,0.23145922790424978,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1490316,4,2015,2,22,0,0,2,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0.15604040404040403,0,5,1,0.0
73,1.0,71,98053,1,1,0,0,30,1,0.0,1,15000.0,22641.78549,0,0,1,29,0,0,0,11.493273626304871,0,0,0,0.0,1,0,1,0,0,0,0,1,0.0,0,0,1,0,0,9.61587214452889,10.027596558759656,0.6624919225545365,1.0,15000.0,0.0,0,0.0,0,0,0,1,0,1,0,0,0.15297849122257373,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,2843537,11,2015,4,6,0,0,4,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0,1,0,0,0,0.21293827160493828,1,4,1,0.0
69,1.0,67,111897,1,0,3,0,22,1,943.2,1,29220.92954368563,22513.37434,0,0,1,33,0,0,1,11.625343021039308,1,0,0,1.3862943611198906,1,0,1,0,0,0,0,0,6.850338008112186,0,0,1,0,0,10.282674718158205,10.021909243764174,1.2979364666126587,1.0,29220.92954368563,0.032278233947268066,0,0.032278233947268066,0,0,0,1,0,1,0,0,0.26114131338127466,0,0.008429180406906092,0,0,0,1,1,0,0,0,0,0,0,0,3692601,1,2015,1,18,1,0,6,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0,0,1,0,1,0.1429501915708812,0,4,1,0.0
54,1.0,84,37154,0,1,0,0,18,1,0.0,1,15000.0,30535.417610000004,0,0,0,16,0,1,0,10.52285363059157,0,0,0,0.0,1,0,1,0,0,0,0,1,0.0,0,0,1,0,0,9.61587214452889,10.326675270320546,0.49123284282827157,1.0,15000.0,0.0,0,0.0,0,0,0,1,0,1,0,0,0.403725036324387,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,594464,7,2016,3,3,1,0,6,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,0,0,0,1,1,0.19969348659003833,1,6,2,0.0
43,1.0,94,40156,1,1,7,0,42,1,0.0,7,23802.520611791784,44367.34346,0,0,0,6,0,1,0,10.600552050380118,1,1,0,2.0794415416798357,1,0,1,0,0,0,0,1,0.0,0,0,0,0,1,10.077588773584964,10.7002815089904,0.5364873971486437,0.3999999999999999,9521.008244716711,0.0,0,0.0,0,1,0,0,0,1,0,0,0.5927512852674328,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,240936,7,2015,3,8,0,0,2,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0,0.1270320987654321,0,5,1,0.0
46,1.0,70,86849,0,0,0,0,84,1,5166.43,1,15000.0,19396.73436,0,0,0,30,0,0,0,11.37193777166925,0,0,0,0.0,1,0,1,0,0,0,0,0,8.550130745261947,1,0,0,0,1,9.61587214452889,9.872911552664444,0.7733260517378491,1.0,15000.0,0.34442866664370475,0,0.34442866664370475,0,0,0,1,1,0,0,0,0.17271356031534374,0,0.059487501294666754,0,0,0,0,0,0,0,0,0,1,0,0,2605470,9,2016,3,17,1,0,5,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,0,0,0,0,1,0.11392290249433107,0,2,0,0.0
