age_of_driver,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,past_num_of_claims,witness_present_ind,liab_prct,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_price,vehicle_weight,age_is_outlier,is_young_driver,is_senior_driver,safety_risk_score,low_safety_flag,is_low_income,is_high_income,log_annual_income,is_repeat_claimer,is_serial_claimer,is_extreme_claimer,log_past_claims,witness_absent,witness_unknown,no_verification,full_liability_flag,zero_liability_flag,extreme_liability_flag,no_police_report,zero_payout_claim,log_claim_payout,high_payout_flag,extreme_payout_flag,accident_parking,accident_highway,accident_local,log_vehicle_price,log_vehicle_weight,price_per_weight,residual_value_ratio,estimated_residual_value,payout_to_residual_ratio,over_value_claim_flag,payout_to_price_ratio,high_payout_ratio_flag,old_vehicle_flag,old_vehicle_high_claim,new_vehicle_flag,new_vehicle_high_claim,veh_size_Large,veh_size_Medium,veh_size_nan,vehicle_to_income_ratio,overpriced_vehicle_flag,payout_to_income_ratio,low_income_overpriced_vehicle,low_income_high_claim,no_witness_no_report,repeat_no_witness,living_status_rent,unstable_lifestyle,expensive_vehicle_flag,young_expensive_vehicle,channel_broker,channel_online,broker_no_report,unsafe_full_liability,income_safety_interaction,claim_month,claim_year,claim_quarter,claim_day,is_weekend_claim,is_monday_claim,day_of_week_num,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_month_end_claim,is_year_end_claim,is_winter_claim,is_summer_claim,weekend_no_witness,zip_fraud_rate_oof,is_high_risk_zip_oof,composite_risk_score,risk_grade,payout_to_income_ratio_clipped,payout_to_price_ratio_clipped,payout_to_residual_ratio_clipped,residual_to_income_ratio,claim_to_weight_ratio,claim_to_weight_ratio_clipped,payout_per_safety,vehicle_price_per_driver_age,serial_no_report,serial_no_witness,repeat_claim_full_liability,no_witness_no_report_full_liability,payout_to_income_ratio_clipped_top5_flag,payout_to_income_ratio_clipped_top1_flag,payout_to_price_ratio_clipped_top5_flag,payout_to_price_ratio_clipped_top1_flag,payout_to_residual_ratio_clipped_top5_flag,payout_to_residual_ratio_clipped_top1_flag,high_income_ratio_and_no_report,high_residual_ratio_and_repeat,composite_x_income_ratio,income_bin,claim_bin,income_claim_bin_gap,fraud
47,1.0,43,108888,1,1,0,0,13,0,3995.36,7,15000.0,15800.7448,0,0,0,57,1,0,1,11.59808429371818,0,0,0,0.0,1,0,1,0,0,0,1,0,8.293139225800665,1,0,1,0,0,9.61587214452889,9.66787564329782,0.949322338213492,0.3999999999999999,5999.999999999999,0.6658933332223512,0,0.2663573333155762,0,1,1,0,0,1,0,0,0.1377562265801763,0,0.0366923811619582,0,0,1,0,0,0,0,0,1,0,1,0,6206616,12,2016,4,15,0,0,3,0.4338837391175582,-0.900968867902419,-2.4492935982947064e-16,1.0,0,1,1,0,0,0.0974940898345153,0,8,2,0.0366923811619582,0.2663573333155762,0.6658933332223512,0.0551024906320705,0.2528589664803105,0.2528589664803105,92.9153466763873,319.14892937981006,0,0,0,0,0,0,0,0,0,0,0,0,8.293539049295665,4,1,-3,0.0
59,1.0,91,110812,1,1,0,0,41,1,0.0,4,48796.87560924169,23175.18071,0,0,0,9,0,0,1,11.615599374932724,0,0,0,0.0,1,0,1,0,0,0,0,1,0.0,0,0,0,0,1,10.79544205829616,10.050880336709088,2.1055661320509342,0.7,34157.81292646918,0.0,0,0.0,0,0,0,0,0,0,0,0,0.4403573223910888,0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,997308,4,2015,2,20,0,1,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0.1079052823315118,0,2,0,0.0,0.0,0.0,0.3082501256737621,0.0,0.0,0.0,827.0656742741697,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4,0,-4,0.0
41,1.0,70,92973,0,0,14,0,50,1,0.0,11,15000.0,23605.10513,0,0,0,30,0,0,0,11.440075163155973,1,1,0,2.70805020110221,1,0,1,0,0,0,0,1,0.0,0,0,0,0,1,9.61587214452889,10.06926064950786,0.6354557591146193,0.05,750.0,0.0,0,0.0,0,1,0,0,0,1,0,0,0.1613371624002523,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,2789190,2,2015,1,28,1,0,5,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1,0,1,0,1,0.1145555555555555,0,4,1,0.0,0.0,0.0,0.0080668581200126,0.0,0.0,0.0,365.8536496133256,0,1,0,0,0,0,0,0,0,0,0,0,4.0,3,0,-3,1.0
31,1.0,86,92834,0,1,9,0,69,1,606.92,1,15000.0,22086.44797,0,0,0,14,0,0,0,11.438579002841571,1,1,0,2.302585092994046,1,0,1,0,0,0,0,0,6.41004329436153,0,0,0,1,0,9.61587214452889,10.002764760994165,0.6791494956407357,1.0,15000.0,0.0404613333306359,0,0.0404613333306359,0,0,0,1,0,0,1,0,0.1615787319283713,0,0.0065376909321311,0,0,0,1,0,0,0,0,1,0,0,0,1299676,2,2016,1,19,0,0,4,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0,0,1,0,0,0.1944159544159544,1,5,1,0.0065376909321311,0.0404613333306359,0.0404613333306359,0.1615787319283713,0.027479294126285,0.027479294126285,7.057209220265009,483.8709521331951,0,1,0,0,0,0,0,0,0,0,0,0,5.032688454660655,3,0,-3,1.0
48,1.0,89,89906,1,0,0,0,47,1,5122.01,1,15000.0,17695.01417,0,0,0,11,0,0,0,11.406531081722104,0,0,0,0.0,1,0,1,0,0,0,0,0,8.541497435918558,1,0,0,1,0,9.61587214452889,9.781094705067671,0.8476964106976075,1.0,15000.0,0.3414673333105688,0,0.3414673333105688,0,0,0,1,1,1,0,0,0.1668409227396743,0,0.0569707249787892,0,0,0,0,0,0,0,0,1,0,0,0,988966,12,2015,4,2,0,0,2,0.9749279121818236,-0.2225209339563143,-2.4492935982947064e-16,1.0,0,1,1,0,0,0.0974940898345153,0,1,0,0.0569707249787892,0.3414673333105688,0.3414673333105688,0.1668409227396743,0.2894606328371502,0.2894606328371502,57.55067351066659,312.49999348958346,0,0,0,0,0,0,0,0,0,0,0,0,1.0569707249787892,3,2,-1,0.0
58,1.0,73,35649,1,0,14,0,81,1,1136.73,1,34786.85982300338,27563.54692,0,0,0,27,0,1,0,10.48150442584244,1,1,0,2.70805020110221,1,0,1,0,0,0,0,0,7.036790328188083,0,0,1,0,0,10.457023749237452,10.22428569410292,1.2620603553928,1.0,34786.85982300338,0.032676993719785,0,0.032676993719785,0,0,0,1,0,0,0,0,0.9758158664205888,0,0.0318867289396087,0,0,0,1,1,0,0,0,1,0,0,0,962523,8,2016,3,20,1,0,5,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,0,0,0,1,1,0.17003003003003,0,6,2,0.0318867289396087,0.032676993719785,0.032676993719785,0.9758158664205888,0.0412403383083456,0.0412403383083456,15.571643622306253,599.773434883275,0,1,0,0,0,0,0,0,0,0,0,0,6.1913203736376525,0,0,0,0.0
62,1.0,96,55856,1,1,0,1,0,1,1916.13,1,15000.0,21797.50318,0,0,0,4,0,0,0,10.930550132364164,0,0,0,0.0,0,0,0,0,1,1,0,0,7.558584555039526,0,0,1,0,0,9.61587214452889,9.989596584951984,0.6881522106199252,1.0,15000.0,0.1277419999914838,0,0.1277419999914838,0,0,0,1,0,0,0,0,0.268547694065659,0,0.0343048195353354,0,0,0,0,0,0,0,0,1,0,0,0,223424,8,2015,3,23,1,0,6,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0,0.1405273069679849,0,4,1,0.0343048195353354,0.1277419999914838,0.1277419999914838,0.268547694065659,0.0879059396890104,0.0879059396890104,19.959687292086592,241.9354799687826,0,0,0,0,0,0,0,0,0,0,0,0,4.137219278141342,1,1,0,0.0
50,1.0,73,99220,1,1,18,0,63,1,1302.25,13,15000.0,35564.86548,0,0,0,27,0,0,0,11.505104964417434,1,1,1,2.9444389791664403,1,0,1,0,0,0,0,0,7.172616423648216,0,0,0,1,0,9.61587214452889,10.479141622032492,0.4217645644692098,0.05,750.0,1.7363333310182223,1,0.0868166666608788,0,1,0,0,0,0,1,0,0.151179197740867,0,0.0131248740172029,0,0,0,1,1,1,0,0,1,0,0,0,2678940,3,2015,1,26,0,0,3,0.4338837391175582,-0.900968867902419,1.0,6.123233995736766e-17,1,0,0,0,0,0.1702801932367149,0,6,2,0.0131248740172029,0.0868166666608788,1.7363333310182223,0.0075589598870433,0.0366161936053352,0.0366161936053352,17.83904085151999,299.99999400000013,0,1,0,0,0,0,0,0,1,0,0,1,6.078749244103218,3,1,-2,0.0
44,0.0,69,43182,0,0,0,0,76,0,0.0,1,78576.37704529995,10820.43667,0,0,0,31,0,1,0,10.673202178264953,0,0,0,0.0,1,0,1,0,0,0,1,1,0.0,0,0,0,0,1,11.271839113136918,9.28928432269886,7.261848983959545,1.0,78576.37704529995,0.0,0,0.0,0,0,0,1,0,0,0,0,1.8196558066666733,1,0.0,1,0,1,0,0,0,1,0,1,0,1,0,1338642,10,2015,4,6,0,0,1,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0.1430917874396135,0,6,2,0.0,0.0,0.0,1.8196558066666733,0.0,0.0,0.0,1785.8267104425736,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,1.0
47,1.0,53,83923,0,1,0,0,50,1,8020.52,1,100192.47751196906,12325.49515,0,0,0,47,1,0,0,11.337666906376592,0,0,0,0.0,1,0,1,0,0,0,0,0,8.98988320908728,1,0,0,0,1,11.514858370823225,9.419506301898211,8.128880526462272,1.0,100192.47751196906,0.0800511195958979,0,0.0800511195958979,0,0,0,1,1,0,1,0,1.1938619628799638,1,0.0955699867724513,0,0,0,0,0,0,1,0,1,0,0,0,3944381,5,2015,2,8,0,0,4,-0.433883739117558,-0.9009688679024191,0.4999999999999999,-0.8660254037844387,0,0,0,0,0,0.1381851851851851,0,4,1,0.0955699867724513,0.0800511195958979,0.0800511195958979,1.1938619628799638,0.6507259872110918,0.6507259872110918,151.33056318244223,2131.754795323708,0,0,0,0,0,0,0,0,0,0,0,0,4.382279947089805,2,2,0,0.0
46,1.0,90,62666,0,1,2,1,100,1,0.0,13,30203.14335634287,21249.2847,0,0,0,10,0,0,0,11.045590272278766,1,0,0,1.0986122886681098,0,0,0,1,0,1,0,1,0.0,0,0,1,0,0,10.315734391182176,9.964125571909872,1.421372238234518,0.05,1510.1571678171435,0.0,0,0.0,0,1,0,0,0,0,0,0,0.4819701808933217,0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,626660,4,2016,2,22,0,0,4,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0.1605100182149362,0,6,2,0.0,0.0,0.0,0.024098509044666,0.0,0.0,0.0,656.5900586902785,0,0,1,0,0,0,0,0,0,0,0,0,6.0,1,0,-1,0.0
34,1.0,89,33337,1,0,4,0,60,0,0.0,1,15000.0,20418.65669,0,0,0,11,0,1,0,10.414453166503034,1,0,0,1.6094379124341005,1,0,1,0,0,0,1,1,0.0,0,0,0,0,1,9.61587214452889,9.92425327913854,0.7346222734922421,1.0,15000.0,0.0,0,0.0,0,0,0,1,0,0,1,0,0.4499505054309041,0,0.0,0,0,1,1,1,0,0,0,1,0,1,0,366707,6,2015,2,16,0,0,1,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,0,0,0,1,0,0.2521637426900585,1,7,2,0.0,0.0,0.0,0.4499505054309041,0.0,0.0,0.0,441.1764576124572,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0.0
23,1.0,62,91385,1,1,0,0,69,1,3849.37,1,44895.04385822643,8576.747176,0,1,0,38,0,0,0,11.422847572843558,0,0,0,0.0,1,0,1,0,0,0,0,0,8.25592452656025,1,0,0,0,1,10.712104959786654,9.056926591105515,5.2345070842964905,1.0,44895.04385822643,0.0857415355706109,0,0.0857415355706109,0,0,0,1,1,1,0,0,0.4912736647998595,0,0.0421225584062797,0,0,0,0,1,0,1,1,0,1,0,0,3472630,8,2015,3,2,1,0,6,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,0,0,0,1,1,0.1114574314574314,0,3,1,0.0421225584062797,0.0857415355706109,0.0857415355706109,0.4912736647998595,0.4488146753728193,0.4488146753728193,62.08661190182884,1951.9583437507863,0,0,0,0,0,0,0,0,0,0,0,0,3.126367675218839,3,1,-2,0.0
57,1.0,88,83116,1,1,0,0,98,1,0.0,1,15000.0,8777.104216,0,0,0,12,0,0,0,11.328004532725227,0,0,0,0.0,1,0,1,0,0,1,0,1,0.0,0,0,0,1,0,9.61587214452889,9.080015742585996,1.7089918985976191,1.0,15000.0,0.0,0,0.0,0,0,0,1,0,1,0,0,0.1804706674986709,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,997392,1,2015,1,18,1,0,6,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0,0,1,0,1,0.1732940019665683,0,4,1,0.0,0.0,0.0,0.1804706674986709,0.0,0.0,0.0,263.15789012003705,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2,0,-2,0.0
34,1.0,91,103597,0,1,10,1,33,1,0.0,9,21118.107210708928,16819.073809999998,0,0,0,9,0,0,1,11.54827330360187,1,1,0,2.3978952727983707,0,0,0,0,0,0,0,1,0.0,0,0,0,0,1,9.957933464706482,9.73032832174561,1.2556046455362648,0.1999999999999999,4223.621442141784,0.0,0,0.0,0,1,0,0,0,0,1,0,0.2038486366449325,0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,932373,10,2015,4,14,0,0,2,0.9749279121818236,-0.2225209339563143,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0.1723232323232323,0,4,1,0.0,0.0,0.0,0.0407697273289865,0.0,0.0,0.0,621.1207820467102,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3,0,-3,0.0
44,1.0,64,60604,1,1,19,0,88,0,0.0,1,36580.63735817265,14633.77049,0,0,0,36,0,0,0,11.012132676904612,1,1,1,2.995732273553991,1,0,1,0,0,0,1,1,0.0,0,0,1,0,0,10.507301681964782,9.591155516734483,2.4997410872796126,1.0,36580.63735817265,0.0,0,0.0,0,0,0,1,0,1,0,0,0.6036010388352098,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,2181744,11,2016,4,7,0,1,0,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,1,0,0,0,0.1174928774928775,0,7,2,0.0,0.0,0.0,0.6036010388352098,0.0,0.0,0.0,831.3781028816943,1,1,0,0,0,0,0,0,0,0,0,0,7.0,1,0,-1,0.0
31,0.0,86,46061,1,0,5,0,83,0,0.0,8,70686.32661512695,22254.32271,0,0,0,14,0,1,0,10.737743594055951,1,1,0,1.791759469228055,1,0,1,0,0,0,1,1,0.0,0,0,0,0,1,11.166021580019068,10.010336481906494,3.176296467570666,0.2999999999999999,21205.89798453808,0.0,0,0.0,0,1,0,0,0,1,0,0,1.534624229035243,1,0.0,1,0,1,1,0,0,1,0,1,0,1,0,644854,9,2016,3,11,1,0,6,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210292e-16,0,0,0,0,1,0.2517874396135265,1,10,3,0.0,0.0,0.0,0.4603872687105728,0.0,0.0,0.0,2280.204010803965,1,1,0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,0.0
40,1.0,81,124779,1,0,0,0,97,0,10575.87,11,15736.407035284592,25426.55061,0,0,0,19,0,0,1,11.734307465664775,0,0,0,0.0,1,0,1,0,0,1,1,0,9.266424820432816,1,1,0,0,1,9.66379577112528,10.143588534862532,0.6188966516156827,0.05,786.8203517642296,13.441276605066488,1,0.6720638310647684,1,1,1,0,0,1,0,0,0.1261142262332482,0,0.0847568100394717,0,0,1,0,1,0,0,0,1,0,1,0,2370801,3,2016,1,22,0,0,1,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0,0,0,0,0,0.1505653021442495,0,8,2,0.0847568100394717,0.6720638310647684,4.259287543794624,0.0063057113116624,0.4159380547444246,0.4159380547444246,130.56629468436674,393.4101660468607,0,0,0,0,0,0,1,0,1,1,0,0,8.678054480315774,4,2,-2,0.0
66,1.0,78,70593,1,1,18,0,49,1,3892.51,1,15000.0,16194.0599,0,0,1,22,0,0,0,11.164700434034138,1,1,1,2.9444389791664403,1,0,1,0,0,0,0,0,8.267066343396944,1,0,0,0,1,9.61587214452889,9.69246153027102,0.9262655622926116,1.0,15000.0,0.2595006666493666,0,0.2595006666493666,0,0,0,1,1,0,0,0,0.2124856572151278,0,0.0551401697044304,0,0,0,1,1,1,0,0,0,1,0,0,1553046,1,2015,1,19,0,1,0,0.0,1.0,0.4999999999999999,0.8660254037844387,0,0,1,0,0,0.1442798353909465,0,5,1,0.0551401697044304,0.2595006666493666,0.2595006666493666,0.2124856572151278,0.2403665309253076,0.2403665309253076,49.90397371917983,227.2727238292012,0,1,0,0,0,0,0,0,0,0,0,0,5.275700848522153,2,1,-1,0.0
