claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,age_outlier,age_extreme,safety_inv,safety_risk_flag,vehicle_income_ratio,low_income_high_car,high_claim_freq,claim_freq_score,no_witness,no_witness_repeat,mid_liab,witness_missing,price_per_weight,price_weight_zscore,price_weight_anomaly_flag,vehicle_price_zscore,vehicle_price_anomaly_flag,payout_per_vehicle_age,payout_age_zscore,payout_age_anomaly_flag,payout_to_vehicle_price_ratio,payout_price_ratio_flag,vehicle_anomaly_score,safety_risk,log_past_claims,driver_risk_score,vehicle_price_quantile,vehicle_risk_score,log_claim_payout,liab_ratio,claim_risk_score,composite_risk_score,log_composite_risk,triple_high_risk_flag,income_payout_gap,income_payout_risk,income_payout_anomaly_flag,driver_vehicle_interaction,high_claim_driver_anomaly_vehicle,_is_train,fraud
17224,46,F,1.0,90,62666,0,1,Rent,20152,4/22/2016,Friday,Parking Lot,2,1.0,100,Broker,1,0.0,13,Compact,30203.14335634287,other,21249.2847,0,0,0.01098901098901099,0,0.4819701809010128,0,0,0,0,0,0,0,1.4213722376325046,-0.21495797144383422,0,-0.03946882316420172,0,0.0,-0.7354248820943515,0,0.0,0,0,0.1,1.0986122886681098,0.10986122886681099,0.6246666666666667,0.6246666666666667,0.0,1.0,0.0,0.0,0.0,0,62665.37334626653,1.5957776144008245e-05,0,-0.04336093414746056,0,1,0
11974,34,F,1.0,89,33337,1,0,Rent,20131,6/16/2015,Tuesday,Local,4,0.0,60,Broker,0,0.0,1,Medium,15000.0,red,20418.65669,0,0,0.011111111111111112,0,0.4499505054444011,0,0,1,1,0,1,0,0.7346222731684401,-0.5728157901628324,0,-0.7505560026592288,0,0.0,-0.6789293319088264,0,0.0,0,0,0.11,1.6094379124341003,0.17703817036775102,0.4467777777777778,0.4467777777777778,0.0,0.6,0.0,0.0,0.0,0,33336.66663333366,2.9997000320965504e-05,0,-1.2079732860847523,0,1,0
419,23,M,1.0,62,91385,1,1,Rent,80030,8/2/2015,Sunday,Local,0,0.0,69,Online,1,3849.37,1,Large,44895.04385822643,gray,8576.747176,0,0,0.015873015873015872,0,0.4912736648052353,0,0,0,1,0,1,0,5.2345070788036665,1.8891295122873086,1,0.68691614543261,0,1924.6753766231168,0.6441608592322077,0,0.08574153555342251,0,1,0.38,0.0,0.0,0.7737777777777778,1.5475555555555556,8.25592452656025,0.69,5.696587923326572,0.0,0.0,0,23.73408263690481,0.04213348347874365,0,0.0,0,1,0
11124,57,F,1.0,88,83116,1,1,Own,50001,1/18/2015,Sunday,Highway,0,0.0,98,Broker,1,0.0,1,Large,15000.0,silver,8777.104216,0,0,0.011235955056179775,0,0.1804706675008422,0,0,0,1,0,0,0,1.7089918968452273,-0.044216566499328834,0,-0.7451388272728282,0,0.0,-0.6789293319088264,0,0.0,0,0,0.12,0.0,0.0,0.4467777777777778,0.4467777777777778,0.0,0.98,0.0,0.0,0.0,0,83115.16884831151,1.2031498145720244e-05,0,-0.0,0,1,0
1214,34,M,1.0,91,103597,0,1,Rent,15059,10/14/2015,Wednesday,Local,10,1.0,33,Broker,1,0.0,9,Medium,21118.107210708928,gray,16819.073809999998,0,0,0.010869565217391304,0,0.20384863664690028,0,1,3,0,0,1,0,1.2556046448643823,-0.28671244074813873,0,-0.45579478111937166,0,0.0,-0.6796648845507747,0,0.0,0,0,0.09,2.3978952727983707,0.21581057455185335,0.5182222222222223,0.5182222222222223,0.0,0.33,0.0,0.0,0.0,0,103595.96404035958,9.652885700391616e-06,0,-1.0929481510123094,0,1,0
12431,44,M,1.0,64,60604,1,1,Own,85068,11/7/2016,Monday,Parking Lot,19,0.0,88,Phone,0,0.0,1,Large,36580.63735817265,silver,14633.77049,0,0,0.015384615384615385,0,0.6036010388451695,1,1,3,1,1,0,0,2.499741085742232,0.3894198709442586,0,0.28863316481674495,0,0.0,-0.6789293319088264,0,0.0,0,0,0.36,2.995732273553991,1.0784636184794367,0.6938888888888889,0.6938888888888889,0.0,0.88,0.0,0.0,0.0,0,60603.393966060336,1.65007260219621e-05,0,0.8646676870595511,0,1,0
15626,31,M,0.0,86,46061,1,0,Own,20121,9/11/2016,Sunday,Local,5,0.0,83,Broker,0,0.0,8,Large,70686.32661512695,red,22254.32271,0,0,0.011494252873563218,0,1.53462422906856,1,1,2,1,1,0,0,3.1762964662861215,0.760433928336552,0,1.9223896540057668,0,0.0,-0.6871291518760594,0,0.0,0,0,0.14,1.791759469228055,0.2508463256919277,0.938,0.938,0.0,0.83,0.0,0.0,0.0,0,46060.53939460605,2.1710557733937438e-05,0,3.444459866110877,0,1,0
7161,40,F,1.0,81,124779,1,0,Rent,85071,3/22/2016,Tuesday,Local,0,0.0,97,Broker,0,10575.87,11,Large,15736.407035284592,silver,25426.55061,0,0,0.012195121951219513,0,0.1261142262342589,0,0,0,1,0,0,0,0.6188966513966176,-0.642010437612737,0,-0.7098629012091047,0,881.3217655651955,2.6216474344732106,1,0.6720638306804002,1,2,0.19,0.0,0.0,0.4565,1.3695,9.266424820432817,0.97,12.988432075819833,0.0,0.0,0,11.79734646280294,0.0847647524386501,0,-0.0,0,1,0
11633,66,M,1.0,78,70593,1,1,Rent,80014,1/19/2015,Monday,Local,18,0.0,49,Online,1,3892.51,1,Compact,15000.0,blue,16194.0599,0,0,0.012658227848101266,0,0.21248565721813778,0,1,3,1,1,1,0,0.9262655617778309,-0.4843108386178928,0,-0.7583326912671867,0,1946.245268773656,0.6589887689540127,0,0.25950066649366627,0,0,0.22,2.9444389791664403,0.6477765754166168,0.4467777777777778,0.4467777777777778,8.267066343396944,0.49,4.050862508264503,1.1723689447837127,0.7758182517273186,0,18.130940929570126,0.055154305137359354,0,-2.2328643353432946,0,1,0
2500,55,F,1.0,57,53823,1,1,Own,80109,8/22/2016,Monday,Local,5,0.0,81,Online,1,0.0,1,Compact,15000.0,other,50159.58494,0,0,0.017241379310344827,0,0.27869126581572934,0,1,2,1,1,1,0,0.2990455366596888,-0.8255373264710798,0,-0.7583326912671867,0,0.0,-0.6789293319088264,0,0.0,0,0,0.43,1.791759469228055,0.7704565717680636,0.4467777777777778,0.4467777777777778,0.0,0.81,0.0,0.0,0.0,0,53822.461775382246,1.8579603511773816e-05,0,-1.358749780403177,0,1,0
27289,38,M,1.0,77,102835,1,0,Own,80011,9/8/2016,Thursday,Parking Lot,0,0.0,51,Broker,1,1041.65,3,Large,15000.0,blue,11806.88752,0,0,0.01282051282051282,0,0.1458647347692906,0,0,0,1,0,1,0,1.2704448959886043,-0.2847099641192479,0,-0.7451388272728282,0,260.4118489703776,-0.35854279776388376,0,0.06944333328703778,0,0,0.23,0.0,0.0,0.4467777777777778,0.4467777777777778,6.949520828214605,0.51,3.5442556223894486,0.0,0.0,0,98.62849375506167,0.01013905678305172,0,-0.0,0,1,0
21953,52,F,1.0,87,111190,1,1,Own,85083,3/7/2016,Monday,Parking Lot,0,0.0,26,Phone,0,0.0,1,Large,15000.0,blue,9727.427358,0,0,0.011363636363636364,0,0.1349042180052163,0,0,0,1,0,1,0,1.54203156009625,-0.1357754155487944,0,-0.7451388272728282,0,0.0,-0.6789293319088264,0,0.0,0,0,0.13,0.0,0.0,0.4467777777777778,0.4467777777777778,0.0,0.26,0.0,0.0,0.0,0,111188.88811111888,8.993704469017556e-06,0,-0.0,0,1,0
10109,43,F,1.0,66,97677,1,1,Rent,15050,2/17/2015,Tuesday,Parking Lot,0,0.0,45,Phone,1,0.0,9,Large,64401.27926038503,silver,6978.143204999999,0,0,0.014925373134328358,0,0.6593290053992755,1,0,0,1,0,1,0,9.228999359306648,4.0796564533637385,1,1.6213185680849287,0,0.0,-0.6796648845507747,0,0.0,0,1,0.34,0.0,0.0,0.9095555555555556,1.8191111111111111,0.0,0.45,0.0,0.0,0.0,0,97676.0232397676,1.0237927044213271e-05,0,0.0,0,1,0
29857,50,M,1.0,90,48065,1,0,Own,20101,3/26/2016,Saturday,Highway,0,1.0,82,Broker,1,4562.12,1,Large,15000.0,black,11568.43153,0,0,0.01098901098901099,0,0.3120773951940081,0,0,0,0,0,1,0,1.2966321275390458,-0.27034923134140776,0,-0.7451388272728282,0,2281.048594757026,0.8891444627142767,0,0.30414133313057246,0,0,0.1,0.0,0.0,0.4467777777777778,0.4467777777777778,8.42576187906944,0.82,6.909124740836941,0.0,0.0,0,10.533363114418725,0.09493635031603874,0,-0.0,0,1,0
16904,46,F,1.0,71,68441,1,1,Own,20116,10/20/2016,Thursday,Local,8,0.0,18,Phone,0,0.0,1,Large,15000.0,silver,21686.07371,0,0,0.013888888888888888,0,0.2191668736576029,0,1,3,1,1,0,0,0.6916881402172048,-0.602092544137053,0,-0.7451388272728282,0,0.0,-0.6789293319088264,0,0.0,0,0,0.29,2.1972245773362196,0.6371951274275036,0.4467777777777778,0.4467777777777778,0.0,0.18,0.0,0.0,0.0,0,68440.31559684403,1.4611271019621074e-05,0,-1.6372373448113462,0,1,0
10733,39,F,1.0,88,124193,1,1,Own,20119,4/22/2015,Wednesday,Local,0,0.0,98,Phone,0,0.0,1,Compact,28745.61589134395,white,7695.764341,0,0,0.011235955056179775,0,0.23145922790611348,0,0,0,1,0,0,0,3.7352515721987642,1.043861720260675,0,-0.1083864020357004,0,0.0,-0.6789293319088264,0,0.0,0,0,0.12,0.0,0.0,0.6089444444444444,0.6089444444444444,0.0,0.98,0.0,0.0,0.0,0,124191.75808241917,8.052064125349082e-06,0,-0.0,0,1,0
4841,73,F,1.0,71,98053,1,1,Rent,85083,11/6/2015,Friday,Parking Lot,0,0.0,30,Phone,1,0.0,1,Large,15000.0,other,22641.78549,1,0,0.013888888888888888,0,0.1529784912241339,0,0,0,1,0,1,0,0.6624919222911992,-0.6181033654012764,0,-0.7451388272728282,0,0.0,-0.6789293319088264,0,0.0,0,0,0.29,0.0,0.0,0.4467777777777778,0.4467777777777778,0.0,0.3,0.0,0.0,0.0,0,98052.0194798052,1.0198668066229613e-05,0,-0.0,0,1,0
2913,69,F,1.0,67,111897,1,0,Rent,80011,1/18/2015,Sunday,Parking Lot,3,0.0,22,Phone,1,943.2,1,Large,29220.92954368563,black,22513.37434,1,0,0.014705882352941176,0,0.2611413133836084,0,0,1,1,0,1,0,1.2979364660937924,-0.2696339492620298,0,-0.06391711821269379,0,471.59764201178996,-0.3547363683110888,0,0.03227823393732642,0,0,0.33,1.3862943611198906,0.4574771391695639,0.6144444444444445,0.6144444444444445,6.850338008112186,0.22,1.507074361784681,0.4236299926137932,0.3532099425787764,0,118.50984835299884,0.008438116574414886,0,-0.08860794055729086,0,1,0
17998,54,M,1.0,84,37154,0,1,Rent,20107,7/3/2016,Sunday,Parking Lot,0,0.0,18,Broker,1,0.0,1,Large,15000.0,gray,30535.417610000004,0,0,0.011764705882352941,0,0.40372503633525325,0,0,0,1,0,0,0,0.4912328426834857,-0.7120195884005638,0,-0.7451388272728282,0,0.0,-0.6789293319088264,0,0.0,0,0,0.16,0.0,0.0,0.4467777777777778,0.4467777777777778,0.0,0.18,0.0,0.0,0.0,0,37153.62846371536,2.6915271565130123e-05,0,-0.0,0,1,0
6370,43,M,1.0,94,40156,1,1,Own,15001,7/8/2015,Wednesday,Local,7,0.0,42,Broker,1,0.0,7,Large,23802.520611791784,gray,44367.34346,0,0,0.010526315789473684,0,0.592751285282194,1,1,2,1,1,1,0,0.5364873970398162,-0.6872025869989571,0,-0.32347383576990585,0,0.0,-0.6826432246620295,0,0.0,0,0,0.06,2.0794415416798357,0.12476649250079014,0.5503333333333333,0.5503333333333333,0.0,0.42,0.0,0.0,0.0,0,40155.59844401556,2.4903127795372204e-05,0,-0.672644931746463,0,1,0
1039,46,M,1.0,70,86849,0,0,Own,80047,9/17/2016,Saturday,Local,0,0.0,84,Online,1,5166.43,1,Compact,15000.0,black,19396.73436,0,0,0.014084507042253521,0,0.17271356031733237,0,0,0,1,0,0,0,0.7733260513790292,-0.5675145149953159,0,-0.7583326912671867,0,2583.20208398958,1.0968554994315678,0,0.34442866643704756,0,0,0.3,0.0,0.0,0.4467777777777778,0.4467777777777778,8.550130745261947,0.84,7.182109826020036,0.0,0.0,0,16.807000739619113,0.059498980246540996,0,-0.0,0,1,0
7932,39,F,0.0,90,70624,1,1,Own,80042,10/7/2015,Wednesday,Highway,0,1.0,5,Broker,1,0.0,3,Medium,30049.28293445324,silver,19839.79452,0,0,0.01098901098901099,0,0.4254825970555794,0,0,0,0,0,0,0,1.514596478759664,-0.14448415208784657,0,-0.025504141310046302,0,0.0,-0.71740070275363,0,0.0,0,0,0.1,0.0,0.0,0.6232222222222222,0.6232222222222222,0.0,0.05,0.0,0.0,0.0,0,70623.29376706232,1.4159634116708233e-05,0,-0.0,0,1,0
27162,38,M,0.0,72,62026,0,1,Rent,80030,8/29/2015,Saturday,Parking Lot,16,0.0,89,Broker,0,0.0,4,Large,15000.0,blue,16896.32439,0,0,0.0136986301369863,0,0.24183406958372294,0,1,3,1,1,0,0,0.8877670459499463,-0.49456545548030095,0,-0.7451388272728282,0,0.0,-0.66188543066792,0,0.0,0,0,0.28,2.833213344056216,0.7932997363357406,0.4467777777777778,0.4467777777777778,0.0,0.89,0.0,0.0,0.0,0,62025.37974620253,1.612243252569526e-05,0,-2.111137268603777,0,1,0
29422,40,F,1.0,71,47142,1,1,Rent,80022,12/15/2016,Thursday,Parking Lot,0,0.0,93,Broker,1,1058.18,1,Compact,15000.0,silver,38849.62585,0,0,0.013888888888888888,0,0.31818760341097113,0,0,0,1,0,0,0,0.38610410442701754,-0.7781748569593981,0,-0.7583326912671867,0,529.0873545632272,-0.31521589868166994,0,0.07054533328630312,0,0,0.29,0.0,0.0,0.4467777777777778,0.4467777777777778,6.965250302829246,0.93,6.4776827816311995,0.0,0.0,0,44.5080152145243,0.022467858216132897,0,-0.0,0,1,0
12544,38,M,1.0,67,48671,0,0,Rent,80001,7/5/2016,Tuesday,Parking Lot,0,0.0,0,Broker,1,0.0,1,Large,43718.8338038274,blue,16402.630530000002,0,0,0.014705882352941176,0,0.8982522200864458,1,0,0,1,0,0,0,2.665355029317596,0.48024037571540934,0,0.6305724429334161,0,0.0,-0.6789293319088264,0,0.0,0,0,0.33,0.0,0.0,0.7627222222222222,0.7627222222222222,0.0,0.0,0.0,0.0,0.0,0,48670.51329486705,2.0546321213752228e-05,0,0.0,0,1,0
28871,51,F,1.0,81,39424,1,0,Own,50039,2/26/2016,Friday,Local,1,0.0,90,Phone,0,0.0,1,Compact,34810.26708980677,silver,21411.79046,0,0,0.012195121951219513,0,0.8829714663607644,1,0,0,1,0,0,0,1.6257522759985599,-0.10376910647445994,0,0.17837394199562162,0,0.0,-0.6789293319088264,0,0.0,0,0,0.19,0.6931471805599453,0.1316979643063896,0.6748333333333333,0.6748333333333333,0.0,0.9,0.0,0.0,0.0,0,39423.60576394236,2.536551338642305e-05,0,0.12363939497962835,0,1,0
23077,73,M,0.0,76,107972,1,1,Own,20140,7/3/2015,Friday,Highway,3,0.0,52,Broker,0,0.0,1,Large,15000.0,red,25000.65622,1,0,0.012987012987012988,0,0.13892490645722966,0,0,1,1,0,1,0,0.5999842508934015,-0.6523817488867459,0,-0.7451388272728282,0,0.0,-0.6789293319088264,0,0.0,0,0,0.24,1.3862943611198906,0.3327106466687737,0.4467777777777778,0.4467777777777778,0.0,0.52,0.0,0.0,0.0,0,107970.92029079709,9.261753046228481e-06,0,-1.03298175449981,0,1,0
