age_of_driver,safty_rating,annual_income,past_num_of_claims,liab_prct,claim_est_payout,age_of_vehicle,vehicle_price,vehicle_weight,log_claim_est_payout,log_annual_income,payout_income_ratio,witness_present_ind,policy_report_filed_ind,address_change_ind,high_education_ind,gender,marital_status,living_status,accident_site,channel,vehicle_category,vehicle_color,claim_day_of_week,fraud
52,87,111190,0,26,0.0,1,15000.0,9727.427358,0.0,11.619004722271386,0.0,0.0,0,1,1,F,1.0,Own,Parking Lot,Phone,Large,blue,Monday,0
43,66,97677,0,45,0.0,9,64401.27926038503,6978.143204999999,0.0,11.489431633554496,0.0,0.0,1,1,1,F,1.0,Rent,Parking Lot,Phone,Large,silver,Tuesday,0
50,90,48065,0,82,4562.12,1,15000.0,11568.43153,8.42576187906944,10.780330345443172,0.09491366038363916,1.0,1,0,1,M,1.0,Own,Highway,Broker,Large,black,Saturday,0
46,71,68441,8,18,0.0,1,15000.0,21686.07371,0.0,11.133741950255953,0.0,0.0,0,1,1,F,1.0,Own,Local,Phone,Large,silver,Thursday,0
39,88,124193,0,98,0.0,1,28745.61589134395,7695.764341,0.0,11.729600138135845,0.0,0.0,0,1,1,F,1.0,Own,Local,Phone,Compact,white,Wednesday,0
73,71,98053,0,30,0.0,1,15000.0,22641.78549,0.0,11.493273626304871,0.0,0.0,1,1,1,F,1.0,Rent,Parking Lot,Phone,Large,other,Friday,0
69,67,111897,3,22,943.2,1,29220.92954368563,22513.37434,6.850338008112186,11.625343021039308,0.008429105077838747,0.0,1,0,1,F,1.0,Rent,Parking Lot,Phone,Large,black,Sunday,0
54,84,37154,0,18,0.0,1,15000.0,30535.417610000004,0.0,10.52285363059157,0.0,0.0,1,1,0,M,1.0,Rent,Parking Lot,Broker,Large,gray,Sunday,0
43,94,40156,7,42,0.0,7,23802.520611791784,44367.34346,0.0,10.600552050380118,0.0,0.0,1,1,1,M,1.0,Own,Local,Broker,Large,gray,Wednesday,0
46,70,86849,0,84,5166.43,1,15000.0,19396.73436,8.550130745261947,11.37193777166925,0.05948681635002879,0.0,1,0,0,M,1.0,Own,Local,Online,Compact,black,Saturday,0
39,90,70624,0,5,0.0,3,30049.28293445324,19839.79452,0.0,11.165139468448743,0.0,1.0,1,1,1,F,0.0,Own,Highway,Broker,Medium,silver,Wednesday,0
38,72,62026,16,89,0.0,4,15000.0,16896.32439,0.0,11.035325053102616,0.0,0.0,0,1,0,M,0.0,Rent,Parking Lot,Broker,Large,blue,Saturday,0
40,71,47142,0,93,1058.18,1,15000.0,38849.62585,6.965250302829246,10.760940814685789,0.022446174405532107,0.0,1,1,1,F,1.0,Rent,Parking Lot,Broker,Compact,silver,Thursday,0
38,67,48671,0,0,0.0,1,43718.8338038274,16402.630530000002,0.0,10.79285919505902,0.0,0.0,1,0,0,M,1.0,Rent,Parking Lot,Broker,Large,blue,Tuesday,0
51,81,39424,1,90,0.0,1,34810.26708980677,21411.79046,0.0,10.58215541183124,0.0,0.0,0,0,1,F,1.0,Own,Local,Phone,Compact,silver,Friday,0
73,76,107972,3,52,0.0,1,15000.0,25000.65622,0.0,11.589636474851147,0.0,0.0,0,1,1,M,0.0,Own,Highway,Broker,Large,red,Friday,0
47,70,102792,0,96,38.32,2,28495.04403946157,9515.752573,3.671733295278966,11.540472536299529,0.00037278803031334817,0.0,1,0,1,M,1.0,Rent,Local,Phone,Compact,gray,Sunday,0
66,75,30894,15,59,4474.78,15,45468.96228325576,29947.125760000003,8.406435917196161,10.33834963749508,0.1448383233532934,1.0,1,0,1,M,1.0,Own,Local,Phone,Large,white,Monday,0
71,70,101118,10,94,0.0,10,15000.0,11045.57161,0.0,11.52405332009128,0.0,1.0,0,1,0,F,0.0,Rent,Highway,Phone,Medium,blue,Sunday,0
51,88,45460,0,69,0.0,1,41127.01276996092,48040.93543,0.0,10.724610094524913,0.0,0.0,0,1,0,F,1.0,Rent,Highway,Broker,Medium,red,Monday,0
44,72,109524,0,1,3991.86,7,32524.28236294432,37431.8213,8.292263045091183,11.603908112682099,0.03644702122803013,0.0,0,1,0,M,1.0,Own,Local,Broker,Medium,silver,Sunday,1
22,92,55475,11,53,0.0,5,15000.0,19550.39645,0.0,10.923705773776225,0.0,1.0,1,1,1,F,1.0,Rent,Highway,Online,Medium,blue,Wednesday,0
39,74,64578,0,50,927.53,1,15000.0,30192.65953,6.833602690448504,11.075644559522202,0.014362718530791742,0.0,0,1,1,M,1.0,Own,Local,Phone,Large,gray,Wednesday,0
42,91,54244,4,50,0.0,1,15000.0,13899.01434,0.0,10.901266101256551,0.0,0.0,1,1,1,F,1.0,Rent,Highway,Broker,Large,black,Tuesday,1
49,71,79289,0,9,0.0,1,36886.06503078043,19582.42969,0.0,11.280867296266445,0.0,0.0,1,0,1,F,0.0,Own,Local,Broker,Compact,black,Friday,0
34,69,73910,0,49,4991.22,1,15000.0,22542.57158,8.515635979591007,11.210616945656284,0.06753013759792183,1.0,1,1,1,M,1.0,Rent,Highway,Broker,Compact,silver,Friday,0
55,93,52414,10,78,1945.69,1,15000.0,8954.550535,7.573885773383698,10.866948088886673,0.03712086234856434,0.0,1,0,1,F,0.0,Own,Local,Broker,Compact,red,Wednesday,1
79,78,110408,0,50,3125.3,1,30797.66561789796,30745.5594,8.047605475666492,11.611946931241546,0.028306569210843322,0.0,1,0,1,M,1.0,Own,Parking Lot,Broker,Compact,black,Saturday,0
51,90,122405,0,11,0.0,1,15000.0,10424.28059,0.0,11.715098667466783,0.0,0.0,1,0,1,F,1.0,Rent,Local,Broker,Compact,red,Friday,0
41,92,48621,0,93,2906.37,1,32511.790462222983,18163.59852,7.975004171441362,10.791831382359332,0.05977479330344288,0.0,1,0,1,F,0.0,Own,Parking Lot,Broker,Compact,white,Friday,0
51,63,40974,0,80,0.0,1,46239.05546284055,19582.85249,0.0,10.62071740361203,0.0,0.0,1,1,1,M,1.0,Own,Parking Lot,Broker,Compact,silver,Sunday,0
63,84,38362,0,50,0.0,1,39308.70004331959,25175.50102,0.0,10.554848732404476,0.0,1.0,0,0,1,M,0.0,Own,Local,Phone,Compact,red,Wednesday,0
59,74,46632,0,0,0.0,1,15000.0,27991.71405,0.0,10.750063723997085,0.0,0.0,0,0,1,M,1.0,Own,Highway,Phone,Large,red,Tuesday,0
53,90,61517,12,92,0.0,5,93467.80536220803,41028.97196,0.0,11.027085093898146,0.0,1.0,0,0,1,M,1.0,Own,Local,Broker,Medium,red,Thursday,0
41,85,35052,0,85,0.0,1,76030.70474467074,15280.73673,0.0,10.464616480811362,0.0,0.0,0,1,0,M,1.0,Own,Parking Lot,Broker,Medium,blue,Thursday,0
31,83,122994,29,74,0.0,1,15000.0,25761.92261,0.0,11.7198989831218,0.0,0.0,0,0,0,M,1.0,Rent,Local,Phone,Compact,other,Wednesday,0
20,51,97457,1,21,2641.31,1,15734.611140667588,24783.04768,7.879408813551023,11.48717679494745,0.027102033696566726,0.0,1,1,1,F,0.0,Rent,Local,Online,Medium,blue,Tuesday,0
25,57,103518,0,97,0.0,1,15000.0,56358.56017999999,0.0,11.547510449718981,0.0,0.0,1,0,1,M,1.0,Rent,Local,Phone,Large,red,Saturday,0
53,66,112493,0,17,7453.95,17,26291.964830756697,15051.53603,8.916633520268231,11.630655165871005,0.06626086724625313,0.0,0,1,0,M,0.0,Own,Local,Broker,Medium,red,Thursday,0
41,79,85908,2,32,0.0,1,42095.64284368455,15188.90454,0.0,11.361043875475891,0.0,0.0,0,1,1,F,1.0,Own,Local,Phone,Large,blue,Friday,0
29,75,46106,0,93,6982.86,3,15146.493456715594,38367.38199,8.851357051499503,10.738720061275421,0.1514490207560674,0.0,0,1,0,M,0.0,Rent,Highway,Online,Large,blue,Friday,0
43,86,84198,0,41,0.0,1,54869.82376669555,49370.07231,0.0,11.340938323675331,0.0,0.0,0,1,1,M,0.0,Own,Parking Lot,Broker,Large,gray,Sunday,0
32,87,66261,0,43,1231.27,1,15000.0,17890.90176,7.116613275926487,11.101371859521507,0.018581841779602187,1.0,1,0,1,F,1.0,Rent,Highway,Broker,Large,gray,Thursday,0
40,71,46459,12,82,2619.18,1,15000.0,32263.193860000003,7.8709982966853245,10.7463470063244,0.0563749461902712,0.0,1,0,1,M,0.0,Rent,Local,Online,Large,blue,Tuesday,0
33,78,38415,0,20,0.0,5,15000.0,13584.60307,0.0,10.556229318461034,0.0,0.0,1,0,1,F,0.0,Rent,Parking Lot,Broker,Medium,silver,Saturday,0
52,92,76708,0,20,13185.68,11,70380.82108476112,6121.869612,9.486962508190373,11.247774320758346,0.17189221603723162,1.0,1,1,1,F,0.0,Own,Local,Broker,Medium,gray,Sunday,0
61,92,84717,5,8,4197.7,7,15000.0,36246.50513,8.342530232549555,11.347083372820052,0.04954909228263179,1.0,1,1,1,M,1.0,Rent,Parking Lot,Broker,Compact,silver,Thursday,0
41,71,57724,0,51,4539.9,1,15000.0,36218.34643,8.420880509274323,10.963445634222696,0.0786470333477696,1.0,1,1,1,F,0.0,Rent,Highway,Broker,Medium,other,Tuesday,0
40,77,44840,0,4,3182.42,1,38267.9121874056,4825.85757,8.065711369566959,10.710878178453925,0.07097120938426886,0.0,1,0,1,F,1.0,Own,Local,Phone,Medium,silver,Wednesday,0
34,64,75285,0,50,5209.49,1,47636.52034087939,14494.83609,8.558429180229028,11.229049473527398,0.0691959992561698,1.0,1,1,1,M,0.0,Own,Local,Broker,Compact,gray,Sunday,0
25,91,113543,0,1,405.44,7,21977.3574959566,9360.960445,6.007436316617681,11.639945705979093,0.003570774325371662,1.0,0,1,0,F,1.0,Rent,Parking Lot,Online,Compact,other,Monday,0
47,79,31073,0,62,0.0,2,15000.0,18564.19126,0.0,10.344126735651946,0.0,0.0,0,0,0,M,1.0,Rent,Local,Broker,Compact,gray,Wednesday,1
46,85,36274,2,74,0.0,4,15000.0,16161.33381,0.0,10.498884077752388,0.0,0.0,0,1,1,M,1.0,Rent,Local,Broker,Compact,white,Friday,0
45,68,117708,8,89,0.0,8,15000.0,27809.16711,0.0,11.675970755915507,0.0,0.0,0,0,0,F,1.0,Own,Local,Broker,Large,red,Saturday,1
50,81,58209,0,48,0.0,1,16748.84858634196,23767.17852,0.0,10.971812440265781,0.0,0.0,1,0,1,M,1.0,Rent,Local,Broker,Medium,red,Wednesday,0
34,55,85531,0,50,0.0,1,15000.0,17048.200230000002,0.0,11.356645853909527,0.0,0.0,1,1,1,F,1.0,Rent,Highway,Phone,Medium,white,Monday,0
47,25,95306,0,1,0.0,1,54175.37808415589,10202.53518,0.0,11.464858539200842,0.0,0.0,0,0,1,F,1.0,Rent,Local,Phone,Large,blue,Saturday,0
45,77,90210,10,99,0.0,1,38378.24045477507,30341.72054,0.0,11.409906649834781,0.0,0.0,0,1,1,M,1.0,Own,Highway,Broker,Large,red,Wednesday,0
45,74,108069,6,100,0.0,1,34479.24805318885,16019.36832,0.0,11.59053444429721,0.0,1.0,1,1,1,F,1.0,Own,Highway,Broker,Compact,other,Tuesday,1
71,88,86200,0,29,4749.94,1,15000.0,34579.75368,8.466097772186949,11.364437057512568,0.05510307305019663,0.0,0,1,1,F,1.0,Own,Highway,Online,Large,red,Saturday,0
44,89,116637,3,93,4193.34,7,64585.52558117424,15347.05517,8.341491276368673,11.666830400319071,0.03595174814382963,1.0,0,0,0,M,1.0,Rent,Highway,Broker,Large,other,Saturday,0
69,97,94279,13,97,0.0,9,22239.917411901373,60476.37034,0.0,11.454024357050068,0.0,1.0,1,0,0,F,1.0,Own,Local,Broker,Compact,blue,Sunday,0
29,79,113230,0,31,0.0,2,18348.94249542145,20707.49143,0.0,11.637185258850824,0.0,0.0,0,1,0,F,1.0,Rent,Local,Online,Compact,silver,Saturday,0
59,73,36142,3,76,8738.6,1,32637.942695096004,35050.175760000006,9.07561970101187,10.495238571215703,0.24177849099410675,0.0,0,0,1,M,1.0,Own,Local,Broker,Large,black,Friday,0
30,80,83651,19,53,2361.04,1,77469.64111094261,35279.73791,7.767280931414931,11.334420615274398,0.028224549323387367,0.0,1,0,1,M,1.0,Own,Local,Phone,Large,other,Friday,0
51,76,83175,0,87,0.0,1,15000.0,20057.86217,0.0,11.328714123657806,0.0,0.0,0,0,0,F,1.0,Rent,Highway,Phone,Compact,other,Monday,0
43,78,92100,11,25,0.0,1,15000.0,6988.638747,0.0,11.430641079947755,0.0,0.0,0,1,1,F,1.0,Rent,Parking Lot,Broker,Medium,gray,Monday,0
46,73,112123,0,23,4914.97,1,15000.0,34779.09257,8.500244368144928,11.627360680703712,0.04383512896436089,0.0,1,1,1,F,1.0,Own,Highway,Phone,Medium,other,Thursday,0
46,45,51970,16,40,0.0,11,15000.0,31712.44366,0.0,10.858441149687675,0.0,1.0,1,1,0,M,1.0,Own,Highway,Phone,Compact,blue,Sunday,0
37,66,77801,0,84,0.0,5,72553.44754135596,19325.83466,0.0,11.261922416776939,0.0,1.0,1,1,0,F,1.0,Rent,Local,Broker,Medium,red,Thursday,0
39,70,47523,2,25,3465.36,2,15000.0,30553.11315,8.150860331009941,10.768990125578178,0.07291810453665516,0.0,0,1,0,F,1.0,Own,Local,Broker,Medium,other,Tuesday,0
72,87,92998,8,86,8252.23,1,15000.0,21680.56243,9.018359917858183,11.44034401938941,0.08873461004957042,0.0,0,0,1,M,1.0,Own,Local,Phone,Compact,silver,Saturday,0
40,87,101200,1,97,0.0,1,15000.0,14379.80022,0.0,11.524863917209606,0.0,1.0,0,1,0,F,1.0,Own,Local,Phone,Large,silver,Thursday,0
38,88,38937,0,50,2136.03,1,15000.0,12299.16044,7.667172293592159,10.569725916538856,0.05485720889619396,1.0,1,1,1,M,1.0,Own,Local,Phone,Large,black,Wednesday,0
51,72,93542,15,70,2533.94,16,15000.0,22098.63506,7.837925247106123,11.44617650260651,0.027088504751825365,0.0,1,1,1,F,1.0,Rent,Highway,Broker,Medium,black,Tuesday,0
33,60,93977,0,39,0.0,1,15000.0,15689.38745,0.0,11.450815991306717,0.0,0.0,1,0,0,F,1.0,Own,Local,Broker,Medium,black,Sunday,0
30,47,114486,0,19,0.0,11,15000.0,20901.19198,0.0,11.6482165584127,0.0,0.0,0,0,1,F,0.0,Rent,Local,Broker,Medium,other,Monday,0
33,75,112643,4,27,2859.32,1,33524.642659472025,32747.282260000004,7.958688785666778,11.631987682124992,0.025383686658854446,0.0,0,1,0,F,1.0,Rent,Parking Lot,Phone,Medium,silver,Thursday,1
60,84,86735,0,15,0.0,1,17870.157280020034,50748.09489,0.0,11.37062430150012,0.0,0.0,1,1,0,F,1.0,Own,Local,Online,Compact,black,Friday,0
29,85,35401,0,91,3239.7,1,38738.87803640395,23513.49284,8.083544634833784,10.474523594701102,0.09151177899553697,0.0,1,1,1,M,1.0,Rent,Local,Online,Large,other,Thursday,0
30,90,112956,0,84,0.0,3,15000.0,23613.53582,0.0,11.634762494300743,0.0,1.0,1,0,0,F,0.0,Own,Highway,Broker,Compact,gray,Friday,1
28,67,43495,0,31,1519.69,1,23743.396893307126,13396.77122,7.326919458205808,10.680424258825756,0.03493861504506161,0.0,1,0,0,F,0.0,Rent,Local,Online,Compact,gray,Sunday,0
42,66,104038,8,21,2935.64,1,15000.0,23333.29471,7.985021349630649,11.552521107828582,0.02821672641990023,0.0,1,1,0,M,1.0,Rent,Parking Lot,Phone,Large,black,Thursday,0
30,49,62610,4,11,5573.52,1,53669.72852348398,28248.26454,8.625961493966908,11.044696260501281,0.08901822363482456,0.0,0,1,0,M,0.0,Own,Local,Broker,Compact,gray,Tuesday,0
64,68,37483,5,12,0.0,1,15000.0,11710.89052,0.0,10.531669454243714,0.0,0.0,1,0,1,M,1.0,Rent,Parking Lot,Broker,Medium,gray,Wednesday,0
57,88,62240,16,91,8539.73,1,28001.30192195768,25061.94165,9.052601763223077,11.03876922556125,0.1372042544303594,0.0,0,1,1,F,1.0,Own,Parking Lot,Phone,Compact,white,Tuesday,0
44,80,114167,1,63,7821.97,10,15000.0,11097.80885,8.964819556831761,11.645426326780226,0.06851280568986055,0.0,1,0,0,M,1.0,Own,Local,Broker,Large,gray,Thursday,0
40,88,100820,16,26,0.0,2,15000.0,17269.80254,0.0,11.521101946254364,0.0,0.0,0,0,1,F,1.0,Own,Parking Lot,Broker,Large,white,Saturday,0
68,73,99508,0,3,2774.7,1,15000.0,28998.80602,7.928658246622537,11.508003371317432,0.027883909998090622,0.0,1,0,1,F,1.0,Own,Parking Lot,Broker,Large,silver,Thursday,0
43,47,95621,0,87,6892.43,1,34690.19126295639,16877.106359999998,8.838324063066763,11.46815819808769,0.07207996067850495,1.0,1,1,0,F,1.0,Own,Local,Broker,Compact,other,Saturday,0
40,74,81258,0,18,5944.99,1,15000.0,13891.95007,8.690472321753736,11.305396863288294,0.07316100370420507,0.0,0,1,0,M,1.0,Own,Highway,Online,Large,white,Sunday,0
35,95,60896,5,62,0.0,3,15000.0,14680.33702,0.0,11.016939191400878,0.0,0.0,1,1,1,F,0.0,Own,Local,Broker,Large,other,Monday,0
43,68,60756,0,99,0.0,2,37926.01758443484,17616.26402,0.0,11.0146375809022,0.0,0.0,1,1,1,F,1.0,Own,Parking Lot,Broker,Compact,white,Saturday,0
46,96,43039,3,99,0.0,3,15000.0,7046.278133,0.0,10.669885194835667,0.0,0.0,0,1,1,M,1.0,Own,Local,Phone,Medium,blue,Monday,0
34,72,94085,9,80,2391.24,1,21227.58445134734,12552.77536,7.7799854444855185,11.451964536609086,0.025415470952107645,0.0,1,1,1,M,1.0,Rent,Parking Lot,Broker,Compact,other,Wednesday,0
52,91,74209,8,29,9118.8,1,15000.0,10999.86142,9.118203153003353,11.214654190964179,0.12287831828594528,0.0,1,0,1,F,1.0,Own,Parking Lot,Broker,Large,silver,Thursday,0
44,89,120381,0,38,0.0,1,44854.91536512194,22103.03012,0.0,11.698425299019242,0.0,0.0,0,0,1,F,0.0,Own,Parking Lot,Broker,Compact,blue,Monday,0
62,73,65761,4,94,0.0,2,76289.26670922447,23732.64087,0.0,11.09379744289288,0.0,0.0,1,1,1,M,1.0,Rent,Local,Broker,Compact,other,Monday,0
55,76,108677,1,28,612.24,16,15000.0,37774.49619,6.4187563764422535,11.596144660720972,0.005633522884116381,0.0,0,0,1,M,1.0,Own,Local,Broker,Large,white,Sunday,0
39,55,107771,1,32,0.0,4,15000.0,24313.52106,0.0,11.58777316345895,0.0,0.0,0,0,0,F,1.0,Own,Highway,Broker,Medium,gray,Thursday,0
46,78,91386,0,74,5231.12,12,15143.452376967813,20253.06789,8.56257182865383,11.422858515378834,0.05724140194994912,1.0,1,1,0,F,1.0,Rent,Local,Broker,Large,white,Friday,0
24,92,65716,5,0,17488.36,1,93561.49283295324,24715.09919,9.769347975004653,11.093112922904789,0.2661162256341586,0.0,0,1,1,M,1.0,Rent,Local,Online,Medium,silver,Thursday,0
47,81,57831,0,0,195.33,1,30326.628402775288,12453.96908,5.279796916910658,10.965297534680133,0.003377541845345138,0.0,0,1,0,F,0.0,Rent,Parking Lot,Phone,Medium,gray,Friday,0
26,45,122736,0,25,1226.26,3,15000.0,26357.9944,7.112539321204007,11.717799133734651,0.00999095627235471,0.0,0,0,1,F,0.0,Rent,Local,Online,Medium,red,Friday,0
49,93,118266,2,24,0.0,2,69967.46358066742,25122.94737,0.0,11.68070005923477,0.0,0.0,1,0,1,F,1.0,Own,Highway,Broker,Medium,white,Monday,0
48,40,111520,0,72,4624.43,2,33456.72686198321,43376.55171,8.43932461859778,11.621968192955583,0.041466898611023935,0.0,1,1,1,M,1.0,Own,Parking Lot,Online,Compact,gray,Monday,0
58,76,111968,0,50,6647.59,1,69281.02191084017,22882.69427,8.802160081093158,11.62597732625071,0.05936991488715627,1.0,1,1,0,M,1.0,Own,Local,Phone,Compact,gray,Thursday,0
54,65,57240,0,72,2129.28,11,15000.0,28857.86927,7.664008705463028,10.955025703818272,0.037198511556401886,0.0,1,0,1,F,0.0,Own,Highway,Phone,Large,black,Monday,0
44,84,75456,1,27,9215.45,1,15000.0,30369.47731,9.128745209868619,11.2313182365658,0.12212849702479558,0.0,0,1,1,M,0.0,Rent,Local,Phone,Medium,gray,Monday,0
46,83,30145,15,95,0.0,1,15000.0,39521.14342,0.0,10.313807523370475,0.0,0.0,1,0,1,F,0.0,Rent,Local,Phone,Large,other,Monday,0
56,87,39377,10,54,1914.78,1,22277.09149996465,17195.11604,7.5578801293912194,10.580962563701778,0.04862562852354106,0.0,0,1,1,F,1.0,Rent,Parking Lot,Broker,Large,red,Saturday,0
32,38,71247,0,91,0.0,7,15000.0,17268.51084,0.0,11.173922027561483,0.0,1.0,1,1,1,F,0.0,Own,Local,Online,Compact,blue,Thursday,0
41,83,30434,18,96,2310.53,1,40315.8084808396,10111.22646,7.745664921929393,10.323348540928025,0.07591687202234271,0.0,1,0,1,F,0.0,Own,Highway,Phone,Compact,gray,Saturday,0
42,88,51015,0,0,4972.67,1,35036.80537560762,39875.05038,8.511913277168455,10.839894587995108,0.09747275364591501,0.0,1,1,0,F,1.0,Own,Local,Broker,Compact,red,Monday,0
41,74,122083,0,98,1784.01,1,15000.0,28486.68409,7.487179296438943,11.712464611381249,0.014612971396743226,0.0,0,1,1,M,1.0,Own,Parking Lot,Phone,Medium,black,Wednesday,1
53,80,53894,0,94,52.31,10,65369.26863992844,18103.42875,3.9761239308346696,10.894792988215729,0.0009705909639113091,0.0,0,0,1,F,0.0,Rent,Parking Lot,Phone,Large,blue,Thursday,0
30,74,89826,0,95,3138.6,1,28986.93913689199,17893.65338,8.051850682252658,11.405640877250129,0.03494049673260823,0.0,0,0,1,M,0.0,Own,Local,Broker,Large,other,Monday,0
32,46,90273,10,0,4401.93,1,32321.405786852483,40814.65935,8.390025507378184,11.41060476882039,0.04876188049715312,0.0,1,1,0,F,0.0,Own,Parking Lot,Broker,Large,red,Saturday,1
