accident_parking,age_of_driver,high_education_ind,age_of_driver_sq,marital_status,address_change_ind,witness_absent,no_verification,claim_year,zip_rate_x_accident_highway,age_of_driver_x_safty_rating,female_x_witness_absent,vehicle_price_per_driver_age,safty_rating,safty_rating_x_liab_prct,age_over_safety,age_of_driver_x_liab_prct,safety_risk_score,day_of_week_sin,female_x_liab_prct,fraud
0,57,1,3249,1.0,1,1,1,2015,0.1732940019665683,5016,1,263.15789012003705,88,8624,0.6404494382022472,5586,12,-0.7818314824680299,98,0.0
0,34,0,1156,1.0,1,0,0,2015,0.0,3094,0,621.1207820467102,91,3003,0.3695652173913043,1122,9,0.9749279121818236,0,0.0
1,44,1,1936,1.0,1,1,1,2016,0.0,2816,0,831.3781028816943,64,5632,0.676923076923077,3872,36,0.0,0,0.0
0,31,1,961,0.0,0,1,1,2016,0.0,2666,0,2280.204010803965,86,7138,0.3563218390804598,2573,14,-0.7818314824680299,0,0.0
0,40,1,1600,1.0,0,1,1,2016,0.0,3240,1,393.4101660468607,81,7857,0.4878048780487805,3880,19,0.7818314824680298,97,0.0
0,66,1,4356,1.0,1,1,1,2015,0.0,5148,0,227.2727238292012,78,3822,0.8354430379746836,3234,22,0.0,0,0.0
0,55,1,3025,1.0,1,1,1,2016,0.0,3135,1,272.72726776859514,57,4617,0.9482758620689656,4455,43,0.0,81,0.0
1,38,1,1444,1.0,0,1,1,2016,0.0,2926,0,394.7368317174518,77,3927,0.4871794871794871,1938,23,0.4338837391175582,0,0.0
1,52,1,2704,1.0,1,1,1,2016,0.0,4524,1,288.4615329142013,87,2262,0.5909090909090909,1352,13,0.0,26,0.0
1,43,1,1849,1.0,1,1,1,2015,0.0,2838,1,1497.7041340158348,66,2970,0.6417910447761194,1935,34,0.7818314824680298,45,0.0
0,50,1,2500,1.0,0,0,0,2016,0.1896145124716553,4500,0,299.99999400000013,90,7380,0.5494505494505495,4100,10,-0.9749279121818236,0,0.0
0,46,1,2116,1.0,1,1,1,2016,0.0,3266,1,326.0869494328924,71,1278,0.6388888888888888,828,29,0.4338837391175582,18,0.0
0,39,1,1521,1.0,1,1,1,2015,0.0,3432,1,737.0670552378691,88,8624,0.4382022471910112,3822,12,0.9749279121818236,98,0.0
1,73,1,5329,1.0,1,1,1,2015,0.0,5183,1,205.4794492400076,71,2130,1.0138888888888888,2190,29,-0.433883739117558,30,0.0
1,69,1,4761,1.0,0,1,1,2015,0.0,4623,1,423.4917263796218,67,1474,1.0147058823529411,1518,33,-0.7818314824680299,22,0.0
1,54,0,2916,1.0,1,1,1,2016,0.0,4536,0,277.777772633745,84,1512,0.6352941176470588,972,16,-0.7818314824680299,0,0.0
0,43,1,1849,1.0,1,1,1,2015,0.0,4042,0,553.5469780987164,94,3948,0.4526315789473684,1806,6,0.9749279121818236,0,0.0
0,46,0,2116,1.0,0,1,1,2016,0.0,3220,0,326.0869494328924,70,5880,0.647887323943662,3864,30,-0.9749279121818236,0,0.0
0,39,1,1521,0.0,1,0,0,2015,0.0881196581196581,3510,0,770.4944144604827,90,450,0.4285714285714285,195,10,0.9749279121818236,5,0.0
1,38,0,1444,0.0,1,1,1,2015,0.0,2736,0,394.7368317174518,72,6408,0.5205479452054794,3382,28,-0.9749279121818236,0,0.0
1,40,1,1600,1.0,1,1,1,2016,0.0,2840,1,374.9999906250002,71,6603,0.5555555555555556,3720,29,0.4338837391175582,93,0.0
1,38,0,1444,1.0,0,1,1,2016,0.0,2546,0,1150.495596140311,67,0,0.5588235294117647,0,33,0.7818314824680298,0,0.0
0,51,1,2601,1.0,0,1,1,2016,0.0,4131,1,682.5542432794614,81,7290,0.6219512195121951,4590,19,-0.433883739117558,90,0.0
0,73,1,5329,0.0,1,1,1,2015,0.1073504273504273,5548,0,205.4794492400076,76,3952,0.948051948051948,3796,24,-0.433883739117558,0,0.0
0,47,1,2209,1.0,0,1,1,2015,0.0,3290,0,606.2775198549798,70,6720,0.6619718309859155,4512,30,-0.7818314824680299,0,0.0
0,66,1,4356,1.0,0,0,0,2015,0.0,4950,0,688.9236605201834,75,4425,0.868421052631579,3894,25,0.0,0,0.0
0,71,0,5041,0.0,1,0,0,2015,0.292609819121447,4970,0,211.2676026582028,70,6580,1.0,6674,30,-0.7818314824680299,94,0.0
0,51,0,2601,1.0,1,1,1,2016,0.1791060025542784,4488,1,806.411999285273,88,6072,0.5730337078651685,3519,12,0.0,69,0.0
0,44,0,1936,1.0,1,1,1,2016,0.0,3168,0,739.1882187217296,72,72,0.6027397260273972,44,28,-0.7818314824680299,0,1.0
0,22,1,484,1.0,1,0,0,2015,0.1492551892551892,2024,0,681.8181508264477,92,4876,0.2365591397849462,1166,8,0.9749279121818236,53,0.0
0,39,1,1521,1.0,1,1,1,2015,0.0,2886,0,384.61537475345193,74,3700,0.52,1950,26,0.9749279121818236,0,0.0
0,42,1,1764,1.0,1,1,1,2016,0.2194074074074074,3822,1,357.142848639456,91,4550,0.4565217391304347,2100,9,0.7818314824680298,50,1.0
0,49,1,2401,0.0,0,1,1,2015,0.0,3479,1,752.7768220000737,71,639,0.6805555555555556,441,29,-0.433883739117558,9,0.0
0,34,1,1156,1.0,1,0,0,2016,0.2106172839506173,2346,0,441.1764576124572,69,3381,0.4857142857142857,1666,31,-0.433883739117558,0,0.0
0,55,1,3025,0.0,0,1,1,2016,0.0,5115,1,272.72726776859514,93,7254,0.5851063829787234,4290,7,0.9749279121818236,78,1.0
1,79,1,6241,1.0,0,1,1,2016,0.0,6162,0,389.8438636462544,78,3900,1.0,3950,22,-0.9749279121818236,0,0.0
0,51,1,2601,1.0,0,1,1,2016,0.0,4590,1,294.11764129181097,90,990,0.5604395604395604,561,10,-0.433883739117558,11,0.0
1,41,1,1681,0.0,0,1,1,2016,0.0,3772,1,792.970479737866,92,8556,0.4408602150537634,3813,8,-0.433883739117558,93,0.0
1,51,1,2601,1.0,1,1,1,2015,0.0,3213,0,906.6481285527926,63,5040,0.796875,4080,37,-0.7818314824680299,0,0.0
0,63,1,3969,0.0,0,0,0,2015,0.0,5292,0,623.9476098313014,84,4200,0.7411764705882353,3150,16,0.9749279121818236,0,0.0
0,59,1,3481,1.0,0,1,1,2015,0.0974940898345153,4366,0,254.2372838264868,74,0,0.7866666666666666,0,26,0.7818314824680298,0,0.0
0,53,1,2809,1.0,0,0,0,2015,0.0,4770,0,1763.5434641257466,90,8280,0.5824175824175825,4876,10,0.4338837391175582,0,0.0
1,41,0,1681,1.0,1,1,1,2016,0.0,3485,0,1854.4073875673992,85,7225,0.4767441860465116,3485,15,0.4338837391175582,0,0.0
0,31,0,961,1.0,0,1,1,2015,0.0,2573,0,483.8709521331951,83,6142,0.369047619047619,2294,17,0.9749279121818236,0,0.0
0,20,1,400,0.0,1,1,1,2016,0.0,1020,1,786.7305176968534,51,1071,0.3846153846153846,420,49,0.7818314824680298,21,0.0
0,25,1,625,1.0,0,1,1,2016,0.0,1425,0,599.999976000001,57,5529,0.4310344827586206,2425,43,-0.9749279121818236,0,0.0
0,53,0,2809,0.0,1,1,1,2015,0.0,3498,0,496.074798767583,66,1122,0.7910447761194029,901,34,0.4338837391175582,0,0.0
0,41,1,1681,1.0,1,1,1,2015,0.0,3239,1,1026.7229711454045,79,2528,0.5125,1312,21,-0.433883739117558,32,0.0
0,29,0,841,0.0,1,1,1,2016,0.1034002677376171,2175,0,522.2928598076804,75,6975,0.3815789473684211,2697,25,-0.433883739117558,0,0.0
1,43,1,1849,0.0,1,1,1,2016,0.0,3698,0,1276.042383503562,86,3526,0.4942528735632184,1763,14,-0.7818314824680299,0,0.0
0,32,1,1024,1.0,0,0,0,2015,0.0873712737127371,2784,0,468.749985351563,87,3741,0.3636363636363636,1376,13,0.4338837391175582,43,0.0
0,40,1,1600,0.0,0,1,1,2015,0.0,2840,0,374.9999906250002,71,5822,0.5555555555555556,3280,29,0.7818314824680298,0,0.0
1,33,1,1089,0.0,0,1,1,2015,0.0,2574,1,454.5454407713503,78,1560,0.4177215189873418,660,22,-0.9749279121818236,20,0.0
0,52,1,2704,0.0,1,0,0,2016,0.0,4784,0,1353.4773025246889,92,1840,0.5591397849462365,1040,8,-0.7818314824680299,20,0.0
1,61,1,3721,1.0,1,0,0,2015,0.0,5612,0,245.90163531308795,92,736,0.6559139784946236,488,8,0.4338837391175582,0,0.0
0,41,1,1681,0.0,1,0,0,2016,0.1361517615176151,2911,0,365.8536496133256,71,3621,0.5694444444444444,2091,29,0.7818314824680298,51,0.0
0,40,1,1600,1.0,0,1,1,2015,0.0,3080,1,956.6977807676956,77,308,0.5128205128205128,160,23,0.9749279121818236,4,0.0
0,34,1,1156,0.0,1,0,0,2015,0.0,2176,0,1401.074086464862,64,3200,0.5230769230769231,1700,36,-0.7818314824680299,0,0.0
1,25,0,625,1.0,1,0,0,2016,0.0,2275,0,879.0942646744934,91,91,0.2717391304347826,25,9,0.0,1,0.0
0,47,0,2209,1.0,0,1,1,2016,0.0,3713,0,319.14892937981006,79,4898,0.5875,2914,21,0.9749279121818236,0,1.0
0,46,1,2116,1.0,1,1,1,2016,0.0,3910,0,326.0869494328924,85,6290,0.5348837209302325,3404,15,-0.433883739117558,0,0.0
0,45,0,2025,1.0,0,1,1,2016,0.0,3060,1,333.3333259259261,68,6052,0.6521739130434783,4005,32,-0.9749279121818236,89,1.0
0,50,1,2500,1.0,0,1,1,2016,0.0,4050,0,334.9769650272999,81,3888,0.6097560975609756,2400,19,0.9749279121818236,0,0.0
0,34,1,1156,1.0,1,1,1,2016,0.0617624521072796,1870,1,441.1764576124572,55,2750,0.6071428571428571,1700,45,0.0,50,0.0
0,47,1,2209,1.0,0,1,1,2015,0.0,1175,1,1152.6675942869851,25,25,1.807692307692308,47,75,-0.9749279121818236,1,0.0
0,45,1,2025,1.0,1,1,1,2016,0.1254195011337868,3465,0,852.8497689316735,77,7623,0.5769230769230769,4455,23,0.9749279121818236,0,0.0
0,45,1,2025,1.0,1,0,0,2016,0.1073504273504273,3330,0,766.2054952662968,74,7400,0.6,4500,26,0.7818314824680298,100,1.0
0,71,1,5041,1.0,1,1,1,2015,0.1547392290249433,6248,1,211.2676026582028,88,2552,0.797752808988764,2059,12,-0.9749279121818236,29,0.0
0,44,0,1936,1.0,0,0,0,2015,0.1574764595103578,3916,0,1467.8528207573052,89,8277,0.4888888888888889,4092,11,-0.9749279121818236,0,0.0
0,69,0,4761,1.0,0,0,0,2015,0.0,6693,0,322.3176389794744,97,9409,0.7040816326530612,6693,3,-0.7818314824680299,97,0.0
0,29,0,841,1.0,1,1,1,2016,0.0,2291,1,632.722133196528,79,2449,0.3625,899,21,-0.9749279121818236,31,0.0
0,59,1,3481,1.0,0,1,1,2016,0.0,4307,0,553.1854600323821,73,5548,0.7972972972972973,4484,27,-0.433883739117558,0,0.0
0,30,1,900,1.0,0,1,1,2016,0.0,2400,0,2582.3212842873777,80,4240,0.3703703703703703,1590,20,-0.433883739117558,0,0.0
0,51,0,2601,1.0,0,1,1,2015,0.1653472222222222,3876,1,294.11764129181097,76,6612,0.6623376623376623,4437,24,0.0,87,0.0
1,43,1,1849,1.0,1,1,1,2015,0.0,3354,1,348.83720118983257,78,1950,0.5443037974683544,1075,22,0.0,25,0.0
0,46,1,2116,1.0,1,1,1,2015,0.1007830687830688,3358,1,326.0869494328924,73,1679,0.6216216216216216,1058,27,0.4338837391175582,23,0.0
0,46,0,2116,1.0,1,0,0,2015,0.0996135265700483,2070,0,326.0869494328924,45,1800,1.0,1840,55,-0.7818314824680299,0,0.0
0,37,0,1369,1.0,1,0,0,2015,0.0,2442,0,1960.903934606812,66,5544,0.5522388059701493,3108,34,0.4338837391175582,84,0.0
0,39,0,1521,1.0,1,1,1,2015,0.0,2730,1,384.61537475345193,70,1750,0.5492957746478874,975,30,0.7818314824680298,25,0.0
0,72,1,5184,1.0,0,1,1,2015,0.0,6264,0,208.3333304398149,87,7482,0.8181818181818182,6192,13,-0.9749279121818236,0,0.0
0,40,0,1600,1.0,1,0,0,2015,0.0,3480,0,374.9999906250002,87,8439,0.4545454545454545,3880,13,0.4338837391175582,97,0.0
0,38,1,1444,1.0,1,0,0,2015,0.0,3344,0,394.7368317174518,88,4400,0.4269662921348314,1900,12,0.9749279121818236,0,0.0
0,51,1,2601,1.0,1,1,1,2015,0.1589300411522634,3672,1,294.11764129181097,72,5040,0.6986301369863014,3570,28,0.7818314824680298,70,0.0
0,33,0,1089,1.0,0,1,1,2016,0.0,1980,1,454.5454407713503,60,2340,0.5409836065573771,1287,40,-0.7818314824680299,39,0.0
0,30,1,900,0.0,0,1,1,2015,0.0,1410,1,499.9999833333339,47,893,0.625,570,53,0.0,19,0.0
1,33,0,1089,1.0,1,1,1,2015,0.0,2475,1,1015.8982316234484,75,2025,0.4342105263157895,891,25,0.4338837391175582,27,1.0
0,60,0,3600,1.0,1,1,1,2016,0.0,5040,1,297.8359497030681,84,1260,0.7058823529411765,900,16,-0.433883739117558,15,0.0
0,29,1,841,1.0,1,1,1,2016,0.0,2465,0,1335.8233345027795,85,7735,0.3372093023255814,2639,15,0.4338837391175582,0,0.0
0,30,0,900,0.0,0,0,0,2016,0.180796645702306,2700,0,499.9999833333339,90,7560,0.3296703296703296,2520,10,-0.433883739117558,84,1.0
0,28,0,784,0.0,0,1,1,2016,0.0,1876,1,847.9784301903105,67,2077,0.4117647058823529,868,33,-0.7818314824680299,31,0.0
1,42,0,1764,1.0,1,1,1,2015,0.0,2772,0,357.142848639456,66,1386,0.6268656716417911,882,34,0.4338837391175582,0,0.0
0,30,0,900,0.0,1,1,1,2016,0.0,1470,0,1788.9908911497696,49,539,0.6,330,51,0.7818314824680298,0,0.0
1,64,1,4096,1.0,0,1,1,2016,0.0,4352,0,234.37499633789068,68,816,0.927536231884058,768,32,0.9749279121818236,0,0.0
1,57,1,3249,1.0,1,1,1,2015,0.0,5016,1,491.25090229310143,88,8008,0.6404494382022472,5187,12,0.7818314824680298,91,0.0
0,44,0,1936,1.0,0,1,1,2015,0.0,3520,0,340.90908316115724,80,5040,0.5432098765432098,2772,20,0.4338837391175582,0,0.0
1,40,1,1600,1.0,0,1,1,2015,0.0,3520,1,374.9999906250002,88,2288,0.449438202247191,1040,12,-0.9749279121818236,26,0.0
1,68,1,4624,1.0,0,1,1,2016,0.0,4964,1,220.58823205017308,73,219,0.918918918918919,204,27,0.4338837391175582,3,0.0
0,43,0,1849,1.0,1,0,0,2015,0.0,2021,0,806.7486152606459,47,4089,0.8958333333333334,3741,53,-0.9749279121818236,87,0.0
0,40,0,1600,1.0,1,1,1,2015,0.0968168168168168,2960,0,374.9999906250002,74,1332,0.5333333333333333,720,26,-0.7818314824680299,0,0.0
0,35,1,1225,0.0,1,1,1,2016,0.0,3325,1,428.571416326531,95,5890,0.3645833333333333,2170,5,0.0,62,0.0
1,43,1,1849,1.0,1,1,1,2016,0.0,2924,1,882.0003884287082,68,6732,0.6231884057971014,4257,32,-0.9749279121818236,99,0.0
0,46,1,2116,1.0,1,1,1,2015,0.0,4416,0,326.0869494328924,96,9504,0.4742268041237113,4554,4,0.0,0,0.0
1,34,1,1156,1.0,1,1,1,2015,0.0,2448,0,624.340700794313,72,5760,0.4657534246575342,2720,28,0.9749279121818236,0,0.0
1,52,1,2704,1.0,0,1,1,2015,0.0,4732,1,288.4615329142013,91,2639,0.5652173913043478,1508,9,0.4338837391175582,29,0.0
1,44,1,1936,0.0,0,1,1,2015,0.0,3916,1,1019.4298714930017,89,3382,0.4888888888888889,1672,11,0.0,38,0.0
0,62,1,3844,1.0,1,1,1,2016,0.0,4526,0,1230.472023850846,73,6862,0.8378378378378378,5828,27,0.0,0,0.0
0,55,1,3025,1.0,0,1,1,2016,0.0,4180,0,272.72726776859514,76,2128,0.7142857142857143,1540,24,-0.7818314824680299,0,0.0
0,39,0,1521,1.0,0,1,1,2016,0.1162962962962963,2145,1,384.61537475345193,55,1760,0.6964285714285714,1248,45,0.4338837391175582,32,0.0
0,46,0,2116,1.0,1,0,0,2015,0.0,3588,0,329.20547929918115,78,5772,0.5822784810126582,3404,22,-0.433883739117558,74,0.0
0,24,1,576,1.0,1,1,1,2016,0.0,2208,0,3898.395372273245,92,0,0.2580645161290322,0,8,0.4338837391175582,0,0.0
1,47,0,2209,0.0,1,1,1,2015,0.0,3807,1,645.2473990963381,81,0,0.573170731707317,0,19,-0.433883739117558,0,0.0
0,26,1,676,0.0,0,1,1,2015,0.0,1170,1,576.9230547337287,45,1125,0.5652173913043478,650,55,-0.433883739117558,25,0.0
0,49,1,2401,1.0,0,1,1,2015,0.2087890137328339,4557,1,1427.9073908726537,93,2232,0.5212765957446809,1176,7,0.0,24,0.0
1,48,1,2304,1.0,1,1,1,2016,0.0,1920,0,697.0151284368351,40,2880,1.170731707317073,3456,60,0.0,0,0.0
0,58,0,3364,1.0,1,0,0,2015,0.0,4408,0,1194.500357178273,76,3800,0.7532467532467533,2900,24,0.4338837391175582,0,0.0
0,54,1,2916,0.0,0,1,1,2015,0.177070707070707,3510,1,277.777772633745,65,4680,0.8181818181818182,3888,35,0.0,72,0.0
0,44,1,1936,0.0,1,1,1,2015,0.0,3696,0,340.90908316115724,84,2268,0.5176470588235295,1188,16,0.0,0,0.0
0,46,1,2116,0.0,0,1,1,2016,0.0,3818,1,326.0869494328924,83,7885,0.5476190476190477,4370,17,0.0,95,0.0
1,56,1,3136,1.0,1,1,1,2015,0.0,4872,1,397.8051982528473,87,4698,0.6363636363636364,3024,13,-0.9749279121818236,54,0.0
0,32,1,1024,0.0,1,0,0,2015,0.0,1216,0,468.749985351563,38,3458,0.8205128205128205,2912,62,0.4338837391175582,91,0.0
0,41,1,1681,0.0,0,1,1,2016,0.1554144620811287,3403,1,983.3123779884688,83,7968,0.4880952380952381,3936,17,-0.9749279121818236,96,0.0
0,42,0,1764,1.0,1,1,1,2015,0.0,3696,1,834.2096319380473,88,0,0.4719101123595505,0,12,0.0,0,0.0
1,41,1,1681,1.0,1,1,1,2016,0.0,3034,0,365.8536496133256,74,7252,0.5466666666666666,4018,26,0.9749279121818236,0,1.0
1,53,1,2809,0.0,0,1,1,2016,0.0,4240,1,1233.3824038970952,80,7520,0.654320987654321,4982,20,0.4338837391175582,94,0.0
0,30,1,900,0.0,0,1,1,2016,0.0,2220,0,966.2312723553572,74,7030,0.4,2850,26,0.0,0,0.0
1,32,0,1024,0.0,1,1,1,2015,0.0,1472,1,1010.0438992752684,46,0,0.6808510638297872,0,54,-0.9749279121818236,0,1.0
0,81,1,6561,1.0,1,1,1,2015,0.1723232323232323,6075,1,511.8918387753731,75,5925,1.0657894736842106,6399,25,-0.433883739117558,79,0.0
0,66,1,4356,1.0,1,1,1,2016,0.1684938271604938,4620,1,651.8892278642504,70,630,0.9295774647887324,594,30,-0.9749279121818236,9,1.0
1,44,0,1936,1.0,1,1,1,2015,0.0,3960,1,340.90908316115724,90,5760,0.4835164835164835,2816,10,-0.433883739117558,64,0.0
1,32,1,1024,1.0,1,1,1,2016,0.0,1984,0,468.749985351563,62,1488,0.5079365079365079,768,38,-0.433883739117558,0,0.0
0,28,1,784,1.0,1,0,0,2015,0.0,2492,0,535.7142665816333,89,2136,0.3111111111111111,672,11,0.7818314824680298,24,0.0
0,49,0,2401,0.0,0,0,0,2016,0.0,3038,0,306.12244273219505,62,4464,0.7777777777777778,3528,38,0.4338837391175582,0,0.0
0,42,0,1764,1.0,0,1,1,2016,0.0,3738,1,357.142848639456,89,4984,0.4666666666666667,2352,11,0.0,56,0.0
1,40,1,1600,1.0,1,1,1,2015,0.0,2360,1,799.0679198791184,59,5192,0.6666666666666666,3520,41,-0.433883739117558,88,0.0
0,53,1,2809,0.0,0,1,1,2016,0.0,3233,0,283.01886258454977,61,3050,0.8548387096774194,2650,39,-0.9749279121818236,0,1.0
1,33,1,1089,1.0,0,1,1,2015,0.0,1914,1,1014.0942241884842,58,5568,0.559322033898305,3168,42,-0.9749279121818236,96,0.0
1,63,1,3969,1.0,1,1,1,2015,0.0,4599,1,238.09523431594863,73,3650,0.8513513513513513,3150,27,0.0,50,0.0
0,51,1,2601,1.0,1,1,1,2016,0.0,2601,0,294.11764129181097,51,3978,0.9807692307692308,3978,49,0.0,0,1.0
0,60,1,3600,1.0,0,1,1,2016,0.0,5820,0,249.9999958333334,97,7178,0.6122448979591837,4440,3,0.0,0,0.0
1,53,1,2809,1.0,0,1,1,2016,0.0,3975,1,692.1823621540527,75,525,0.6973684210526315,371,25,0.9749279121818236,7,0.0
0,36,0,1296,1.0,1,1,1,2016,0.0,2520,0,1529.757545633614,70,210,0.5070422535211268,108,30,-0.433883739117558,0,0.0
0,48,1,2304,1.0,1,0,0,2016,0.0,3696,0,450.1838776334684,77,770,0.6153846153846154,480,23,-0.9749279121818236,0,0.0
0,51,0,2601,1.0,1,1,1,2015,0.0,3264,0,294.11764129181097,64,2112,0.7846153846153846,1683,36,-0.433883739117558,0,0.0
0,42,1,1764,1.0,0,1,1,2015,0.0,3528,1,1618.4295238867462,84,4200,0.4941176470588235,2100,16,0.0,50,0.0
0,36,1,1296,0.0,1,1,1,2016,0.0,2988,1,416.6666550925929,83,2905,0.4285714285714285,1260,17,-0.9749279121818236,35,0.0
0,42,0,1764,1.0,1,0,0,2016,0.0,3318,0,357.142848639456,79,3950,0.525,2100,21,-0.433883739117558,50,0.0
1,30,1,900,1.0,0,1,1,2016,0.0,2520,0,553.0589922346044,84,420,0.3529411764705882,150,16,-0.9749279121818236,0,0.0
0,45,1,2025,0.0,1,1,1,2015,0.0,2475,0,380.4389083863918,55,1760,0.8035714285714286,1440,45,-0.433883739117558,0,0.0
0,39,1,1521,1.0,0,1,1,2015,0.0,3588,0,384.61537475345193,92,8280,0.4193548387096774,3510,8,-0.7818314824680299,0,0.0
0,54,0,2916,1.0,1,1,1,2015,0.0,3078,0,1548.9965048748447,57,1881,0.9310344827586208,1782,43,0.7818314824680298,0,0.0
0,44,0,1936,1.0,1,1,1,2016,0.0,3256,1,340.90908316115724,74,3700,0.5866666666666667,2200,26,0.4338837391175582,50,0.0
0,36,0,1296,0.0,1,1,1,2016,0.0,2412,1,624.9575405900772,67,134,0.5294117647058824,72,33,-0.433883739117558,2,1.0
1,40,1,1600,1.0,0,0,0,2015,0.0,3080,0,374.9999906250002,77,7392,0.5128205128205128,3840,23,0.0,0,0.0
0,46,0,2116,1.0,1,1,1,2016,0.0,3956,1,1482.8346614090735,86,5160,0.5287356321839081,2760,14,0.7818314824680298,60,0.0
0,41,1,1681,1.0,0,1,1,2015,0.0,3075,0,365.8536496133256,75,675,0.5394736842105263,369,25,0.4338837391175582,0,1.0
0,26,1,676,0.0,0,1,1,2015,0.0,2002,0,576.9230547337287,77,2618,0.3333333333333333,884,23,-0.433883739117558,0,0.0
1,44,1,1936,1.0,0,1,1,2016,0.0,1584,0,340.90908316115724,36,1368,1.1891891891891893,1672,64,-0.433883739117558,0,0.0
0,41,0,1681,0.0,1,0,0,2016,0.1585024154589372,3321,0,718.8816343077331,81,5265,0.5,2665,19,0.0,65,0.0
0,36,1,1296,0.0,0,1,1,2015,0.1218930041152263,2232,1,1269.0356272101844,62,124,0.5714285714285714,72,38,-0.7818314824680299,2,0.0
1,49,0,2401,1.0,1,1,1,2015,0.0,3822,1,507.9361264919256,78,234,0.620253164556962,147,22,0.4338837391175582,3,0.0
1,32,1,1024,0.0,1,1,1,2016,0.0,1920,1,468.749985351563,60,600,0.5245901639344263,320,40,0.9749279121818236,10,0.0
0,42,1,1764,1.0,1,1,1,2016,0.1510749774164408,3990,0,357.142848639456,95,9120,0.4375,4032,5,-0.433883739117558,0,0.0
1,31,1,961,1.0,1,1,1,2015,0.0,2790,0,483.8709521331951,90,8820,0.3406593406593406,3038,10,0.9749279121818236,0,0.0
0,43,0,1849,1.0,0,0,0,2016,0.1410962962962963,2623,0,415.3517259755856,61,3843,0.6935483870967742,2709,39,-0.7818314824680299,0,0.0
1,50,1,2500,1.0,0,1,1,2015,0.0,3250,0,1575.892159111172,65,5005,0.7575757575757576,3850,35,0.9749279121818236,0,0.0
